subject,study_role,channel,trial_count,peak_frequency_median_hz,peak_distance_from_12_5_hz,three_fold_peak_span_hz,peak_reliability,individualized_median_percent,fixed_narrow_median_percent,fixed_broad_median_percent,individualized_minus_fixed_narrow_median_percent,individualized_minus_fixed_broad_median_percent,individualized_median_db,fixed_narrow_median_db,fixed_broad_median_db,individualized_minus_fixed_narrow_median_db,individualized_qc_excluded_median_percent,fixed_narrow_qc_excluded_median_percent,qc_paired_difference_percent,individualized_negative_trial_fraction,fixed_narrow_negative_trial_fraction,low_individualized_reference_power_candidate_count,individualized_run_6_median_percent,individualized_run_10_median_percent,individualized_run_14_median_percent,fixed_narrow_run_6_median_percent,fixed_narrow_run_10_median_percent,fixed_narrow_run_14_median_percent,fixed_broad_run_6_median_percent,fixed_broad_run_10_median_percent,fixed_broad_run_14_median_percent,individualized_negative_run_count,fixed_narrow_negative_run_count,fixed_broad_negative_run_count,individualized_run_range_percentage_points,fixed_narrow_run_range_percentage_points,fixed_broad_run_range_percentage_points,subject_is_group_observational_unit
35,held_out_method_evaluation,C3,24,10.0,2.5,0.0,stable,-47.18894277877038,-46.98298038912555,-47.28363949073962,-0.2059623896448315,0.09469671196923457,-2.773149002046259,-2.7562642934138895,-2.7817374832458657,-0.01688470863236935,-47.90354005256596,-47.71798425870728,-0.1855557938586756,0.875,0.8333333333333334,0,-43.68364563340031,-46.75684082989113,-50.48439795764839,-41.56704644421527,-56.65799784639391,-48.814272115279906,-45.80663223538329,-44.61512261583963,-50.793328444373294,3,3,3,6.80075232424808,15.09095140217864,6.178205828533663,True
35,held_out_method_evaluation,C4,24,10.0,2.5,0.0,stable,-41.45215820903123,-56.82824953381566,-39.316317316854196,15.376091324784426,-2.135840892177036,-2.3293817730296293,-3.6515415368980655,-2.1714360471614507,1.3221597638684361,-44.11328303493059,-58.570183979526355,14.456900944595766,0.875,0.9583333333333334,0,-40.966417877176156,-48.7913894586229,-41.61468580565779,-51.36969226649471,-59.984224912376064,-61.11668127550455,-39.316317316854196,-45.46398664362752,-46.20758586011128,3,3,3,7.824971581446746,9.746989009009837,6.891268543257084,True
37,held_out_method_evaluation,C3,21,12.25,0.25,0.5,stable,-2.863263676630085,-1.9915901453110485,3.261252596644027,-0.8716735313190367,-6.1245162732741125,-0.126164923861688,-0.08736656993414205,0.13937388893569802,-0.038798353927545964,-2.863263676630085,-0.5864598188000355,-2.27680385783005,0.5238095238095238,0.5714285714285714,0,7.185455587019296,-17.324678570560376,4.227245507501015,-0.5864598188000355,-23.514108963717025,22.460497086875186,6.811440352696792,21.41125643920617,-11.130476052881116,1,2,1,24.51013415757967,45.974606050592215,32.541732492087284,True
37,held_out_method_evaluation,C4,21,12.25,0.25,0.5,stable,9.340177475365541,10.64848674401776,0.42833034470438536,-1.3083092686522182,8.911847130661156,0.38779774480628626,0.43945478785492886,0.018562424584381728,-0.051657043048642604,9.340177475365541,10.64848674401776,-1.3083092686522182,0.3333333333333333,0.3333333333333333,0,7.344200148583013,18.052798871671346,3.758669332977871,10.711173288397827,22.328555364652228,2.3591739481529004,-21.096358473275263,0.42833034470438536,8.366188039583582,0,0,1,14.294129538693475,19.969381416499328,29.462546512858843,True
41,held_out_method_evaluation,C3,21,10.75,1.75,2.25,unstable,11.298861603505499,-7.699075014248769,8.962700796662688,18.997936617754267,2.336160806842811,0.46490722269621193,-0.34793946707623047,0.3727785931311809,0.8128466897724425,11.298861603505499,-7.699075014248769,18.997936617754267,0.38095238095238093,0.5714285714285714,0,14.223414503227346,9.56414100797213,36.225432426912555,-5.880790847064688,-9.41654638186973,-12.630056010991723,8.962700796662688,-12.59053548163907,15.191445887455293,0,3,1,26.661291418940422,6.749265163927035,27.781981369094364,True
41,held_out_method_evaluation,C4,21,10.75,1.75,2.25,unstable,-28.069639096570974,-20.064098658087005,-10.829446122945352,-8.005540438483969,-17.24019297362562,-1.43087760664395,-0.9725812365440254,-0.49778535758031006,-0.4582963700999245,-28.069639096570974,-20.064098658087005,-8.005540438483969,0.5714285714285714,0.6666666666666666,0,26.112087254349547,-50.43082106376878,14.474032819036186,0.3821952967693108,-46.641419025357465,-0.6034253336779414,12.496322240564696,-31.734494250514746,9.086490783840869,1,2,1,76.54290831811832,47.023614322126775,44.230816491079445,True
43,held_out_method_evaluation,C3,23,11.5,1.0,0.0,stable,-59.87601534408715,-64.9486490066507,-49.99304139102369,5.072633662563547,-9.882973953063463,-3.9659594434192496,-4.552952382494105,-3.0096955815989053,0.5869929390748556,-58.60282782179708,-62.21856344133352,3.6157356195364443,0.8260869565217391,0.8260869565217391,0,-60.35178330329548,-62.21891568009672,-56.56650610032041,-65.38603027745054,-62.21856344133352,-50.415876524875166,-47.92649700263823,-50.191696355930674,-45.423120868477135,3,3,3,5.652409579776311,14.970153752575378,4.768575487453539,True
43,held_out_method_evaluation,C4,23,11.5,1.0,0.0,stable,-66.93550453261857,-67.3075542103,-53.953124586419044,0.3720496776814315,-12.982379946199522,-4.806380998284079,-4.855525877329627,-3.367998342332429,0.04914487904554754,-62.775931115438354,-66.15584590023025,3.379914784791893,0.7391304347826086,0.782608695652174,0,-20.77481257692176,-67.03777067454868,-72.49201476881522,-28.050296772219482,-67.66382797864871,-74.48841274448775,-8.990160667417722,-55.90961480516799,-59.660125462741945,3,3,3,51.71720219189346,46.438115972268264,50.66996479532422,True
45,held_out_method_evaluation,C3,24,11.5,1.0,0.5,stable,-58.166877769763715,-53.849200282623,-45.12387257666646,-4.317677487140713,-13.043005193097258,-3.7946393429706475,-3.3699858987933453,-2.6062259332136186,-0.4246534441773022,-61.198565000752055,-58.54977637303307,-2.648788627718986,0.875,0.8333333333333334,0,-38.85334646225376,-67.69694776208236,-64.74366874877259,-30.129934940178067,-64.77758604137321,-61.37755222492008,-34.47619590944656,-48.889304126078784,-44.78029703008748,3,3,3,28.8436012998286,34.647651101195144,14.413108216632224,True
45,held_out_method_evaluation,C4,24,11.5,1.0,0.5,stable,-35.87334117140604,-39.55574257351511,-31.541057676517262,3.682401402109072,-4.332283494888777,-1.9312035174342599,-2.2073475836414107,-1.6491888241421289,0.2761440662071508,-33.69937313276486,-36.75345277674165,3.0540796439767917,0.7083333333333334,0.75,0,-31.839903459161974,-69.61736432182396,-56.98836357965379,-22.453139509879524,-61.280719376661864,-59.68084811055542,-14.004467737708024,-54.70550448090561,-31.541057676517262,3,3,3,37.77746086266198,38.827579866782344,40.701036743197584,True
47,held_out_method_evaluation,C3,23,9.75,2.75,1.0,moderate,7.854965757449893,-8.069582120204913,5.235704481955684,15.924547877654806,2.6192612754942086,0.32840145279195165,-0.36540765745615594,0.22163112714154745,0.6938091102481077,1.276725857481317,14.611130914009786,-13.33440505652847,0.4782608695652174,0.5217391304347826,0,68.63304784138266,-30.943234790384217,24.534635645238893,-4.405277567687369,31.766156104985775,-8.237073254584757,23.154304519810097,-8.837389029172249,2.6732148778717764,1,2,1,99.57628263176687,40.00322935957053,31.991693548982347,True
