subject,baseline_model,csp_model,baseline_balanced_accuracy,csp_balanced_accuracy,csp_minus_baseline_balanced_accuracy,baseline_qc_balanced_accuracy,csp_qc_balanced_accuracy,qc_csp_minus_baseline_balanced_accuracy,csp_folds_above_chance_count,csp_fold_range,csp_fists_recall,csp_feet_recall,qc_candidate_count,matched_subject_and_trials
70,spectral_baseline_6,csp_4_empirical,0.8273809523809524,0.9553571428571429,0.12797619047619047,0.7214285714285714,1.0,0.2785714285714286,3,0.0714285714285714,0.9565217391304348,0.9545454545454546,9,True
71,spectral_baseline_6,csp_4_empirical,0.7261904761904763,0.8660714285714285,0.13988095238095222,0.7549603174603176,0.9067460317460317,0.1517857142857142,3,0.1517857142857143,0.7391304347826086,1.0,8,True
72,spectral_baseline_6,csp_4_empirical,0.9761904761904763,0.9761904761904763,0.0,1.0,0.9722222222222223,-0.02777777777777768,3,0.0714285714285714,1.0,0.9523809523809523,11,True
73,spectral_baseline_6,csp_4_empirical,0.5952380952380952,0.8333333333333334,0.23809523809523814,0.6246031746031746,0.6630952380952381,0.038492063492063466,3,0.07142857142857151,0.8571428571428571,0.8095238095238095,8,True
74,spectral_baseline_6,csp_4_empirical,0.5476190476190476,0.5,-0.04761904761904756,0.5079365079365079,0.4666666666666666,-0.04126984126984129,0,0.0,0.38095238095238093,0.6190476190476191,7,True
75,spectral_baseline_6,csp_4_empirical,0.6815476190476191,0.6904761904761904,0.008928571428571286,0.5412698412698412,0.5388888888888889,-0.0023809523809523725,2,0.3392857142857143,0.7142857142857143,0.6666666666666666,7,True
76,spectral_baseline_6,csp_4_empirical,0.5952380952380952,0.5,-0.09523809523809523,0.621031746031746,0.6527777777777778,0.031746031746031744,0,0.0,0.7619047619047619,0.23809523809523808,10,True
77,spectral_baseline_6,csp_4_empirical,0.4136904761904762,0.4196428571428572,0.005952380952380987,0.3869047619047619,0.435515873015873,0.048611111111111105,0,0.1607142857142857,0.3181818181818182,0.5217391304347826,2,True
78,spectral_baseline_6,csp_4_empirical,0.6666666666666666,0.49404761904761907,-0.17261904761904756,0.5813492063492064,0.498015873015873,-0.08333333333333337,1,0.19642857142857145,0.4090909090909091,0.5652173913043478,11,True
79,spectral_baseline_6,csp_4_empirical,0.4970238095238096,0.7142857142857144,0.21726190476190482,0.725,0.7055555555555556,-0.019444444444444375,3,0.3214285714285714,0.7619047619047619,0.6666666666666666,15,True
80,spectral_baseline_6,csp_4_empirical,0.5803571428571429,0.5833333333333334,0.0029761904761904656,0.608531746031746,0.6821428571428573,0.0736111111111113,3,0.0892857142857143,0.5,0.6666666666666666,7,True
