development_fold,subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,training_subjects,target_adaptation_used
7,7,l2_logistic_regression,14,0.5833333333333334,0.5833333333333334,1.0,0.16666666666666666,6,0,5,1,12,True,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,shrinkage_lda,6,0.9285714285714286,0.9333333333333333,0.8571428571428571,1.0,6,1,0,8,15,False,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,shrinkage_lda,10,0.5267857142857143,0.5333333333333333,0.625,0.42857142857142855,5,3,4,3,15,False,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,shrinkage_lda,14,0.6071428571428572,0.6,0.5,0.7142857142857143,4,4,2,5,15,False,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,shrinkage_lda,6,0.9,0.9,0.8,1.0,4,1,0,5,10,True,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,shrinkage_lda,10,0.65,0.7142857142857143,0.8,0.5,4,1,1,1,7,True,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,shrinkage_lda,14,0.5,0.5,0.5,0.5,2,2,2,2,8,True,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,l2_logistic_regression,6,0.9285714285714286,0.9333333333333333,0.8571428571428571,1.0,6,1,0,8,15,False,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,l2_logistic_regression,10,0.5267857142857143,0.5333333333333333,0.625,0.42857142857142855,5,3,4,3,15,False,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,l2_logistic_regression,14,0.75,0.7333333333333333,0.5,1.0,4,4,0,7,15,False,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,l2_logistic_regression,6,0.9,0.9,0.8,1.0,4,1,0,5,10,True,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,l2_logistic_regression,10,0.65,0.7142857142857143,0.8,0.5,4,1,1,1,7,True,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
8,8,l2_logistic_regression,14,0.75,0.75,0.5,1.0,2,2,0,4,8,True,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False
9,9,shrinkage_lda,6,0.4107142857142857,0.4,0.25,0.5714285714285714,2,6,3,4,15,False,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False
