fold_balanced_accuracy_range,fold_balanced_accuracy_run_10,fold_balanced_accuracy_run_14,fold_balanced_accuracy_run_6,folds_above_chance_count,group_observational_unit,included_trial_count,model,out_of_fold_accuracy,out_of_fold_balanced_accuracy,out_of_fold_feet_recall,out_of_fold_fists_recall,out_of_fold_macro_f1,out_of_fold_roc_auc,out_of_fold_trial_count,out_of_fold_true_feet_predicted_feet,out_of_fold_true_feet_predicted_fists,out_of_fold_true_fists_predicted_feet,out_of_fold_true_fists_predicted_fists,primary_mean_fold_balanced_accuracy,qc_candidate_count,qc_sensitivity,subject
0.1428571428571429,0.4285714285714286,0.2857142857142857,0.3571428571428571,0,participant,42,spectral_baseline_6,0.35714285714285715,0.3571428571428571,0.42857142857142855,0.2857142857142857,0.35384615384615387,0.3854875283446712,42,9,12,15,6,0.35714285714285715,2,False,41
0.22857142857142854,0.5714285714285714,0.34285714285714286,0.3571428571428571,1,participant,40,spectral_baseline_6,0.425,0.4223057644110275,0.47619047619047616,0.3684210526315789,0.42174732872407295,0.41604010025062654,40,10,11,12,7,0.4238095238095238,2,True,41
0.0714285714285714,0.5,0.5714285714285714,0.5714285714285714,2,participant,42,csp_4_empirical,0.5476190476190477,0.5476190476190476,0.23809523809523808,0.8571428571428571,0.49968652037617556,0.5668934240362812,42,5,16,3,18,0.5476190476190476,2,False,41
0.1428571428571428,0.5714285714285714,0.5714285714285714,0.4285714285714286,2,participant,40,csp_4_empirical,0.5,0.5112781954887218,0.2857142857142857,0.7368421052631579,0.4791666666666667,0.5238095238095238,40,6,15,5,14,0.5238095238095238,2,True,41
0.33035714285714285,0.7857142857142857,0.45535714285714285,0.7321428571428572,2,participant,45,spectral_baseline_6,0.6666666666666666,0.6577380952380952,0.5238095238095238,0.7916666666666666,0.6557878633350331,0.7361111111111112,45,11,10,5,19,0.6577380952380952,7,False,42
0.29761904761904767,0.7857142857142857,0.5595238095238095,0.8571428571428572,3,participant,38,spectral_baseline_6,0.7105263157894737,0.7324929971988796,0.5238095238095238,0.9411764705882353,0.7054263565891472,0.7815126050420168,38,11,10,1,16,0.7341269841269842,7,True,42
0.0625,1.0,0.9375,1.0,3,participant,45,csp_4_empirical,0.9777777777777777,0.9791666666666667,1.0,0.9583333333333334,0.9777337951509153,0.998015873015873,45,21,0,1,23,0.9791666666666666,7,False,42
0.08333333333333326,1.0,0.9166666666666667,1.0,3,participant,38,csp_4_empirical,0.9736842105263158,0.9705882352941176,1.0,0.9411764705882353,0.9732205778717407,0.9775910364145658,38,21,0,1,16,0.9722222222222223,7,True,42
0.1607142857142857,0.8125,0.7946428571428572,0.6517857142857143,3,participant,45,spectral_baseline_6,0.7555555555555555,0.7559288537549407,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.7055335968379447,45,17,5,6,17,0.7529761904761906,6,False,43
0.11904761904761907,0.7857142857142857,0.6666666666666666,0.7142857142857143,3,participant,39,spectral_baseline_6,0.717948717948718,0.7184210526315788,0.7,0.7368421052631579,0.717948717948718,0.6894736842105263,39,14,6,5,14,0.7222222222222222,6,True,43
0.1428571428571428,1.0,1.0,0.8571428571428572,3,participant,45,csp_4_empirical,0.9555555555555556,0.9545454545454546,0.9090909090909091,1.0,0.9553571428571428,0.9604743083003953,45,20,2,0,23,0.9523809523809524,6,False,43
0.15476190476190477,0.9285714285714286,0.9166666666666667,0.7738095238095238,3,participant,39,csp_4_empirical,0.8717948717948718,0.8736842105263158,0.8,0.9473684210526315,0.8714568226763348,0.9184210526315789,39,16,4,1,18,0.8730158730158731,6,True,43
0.1339285714285715,0.5357142857142857,0.6071428571428572,0.6696428571428572,3,participant,45,spectral_baseline_6,0.6,0.599802371541502,0.5909090909090909,0.6086956521739131,0.599802371541502,0.608695652173913,45,13,9,9,14,0.6041666666666666,4,False,44
