subject,test_run,condition,calibration_test_direction_cosine,calibration_direction_magnitude
58,10,A,0.23028690171212224,1.5162794308892154
58,10,B,0.18532451692468163,2.038311748753207
58,10,C,0.2627268595466048,1.5379656900297782
58,14,A,0.2836400049383323,1.712149292020492
58,14,B,0.2148016772590077,2.0720765718019534
58,14,C,0.269810515378181,1.6520808269089102
59,6,A,-0.09799081064525358,2.2473007131397273
59,6,B,0.011609692043937664,2.8140957160742226
59,6,C,-0.08867509077229413,2.355794153570067
59,10,A,-0.03772491394875485,2.0677132588804645
59,10,B,0.03142814870163153,2.814031000482388
59,10,C,0.020843210540295375,2.061865453063632
59,14,A,0.1857621732478604,1.9526393911090334
59,14,B,0.13509123400849102,2.6841944203116563
59,14,C,0.24470200610861068,2.0011431726811035
60,6,A,0.2724695755157977,2.2061966357090586
60,6,B,0.25455470266057983,2.7455081604399107
60,6,C,0.2895242115190556,2.0746244313133198
60,10,A,0.2631009610559496,2.2692131291209656
60,10,B,0.24971281356848032,2.8866442314727174
60,10,C,0.25823861257175507,2.1852955376253904
60,14,A,0.282528964439363,1.9659686248208457
60,14,B,0.25075019963641865,2.4655887055631727
60,14,C,0.28652633174783,1.9340987128129974
61,6,A,0.10462531568327656,1.4546837942298168
61,6,B,0.11245402925088323,2.046108013539018
61,6,C,0.10820996625780176,1.489080287401367
61,10,A,0.0779144544742649,1.6248517510639362
61,10,B,0.12174830251452268,2.134354033919258
61,10,C,0.09223494190697797,1.6062021634285404
61,14,A,0.06571597540194399,1.5275676789891186
61,14,B,0.10710836951758056,2.113290562078496
61,14,C,0.095811574406449,1.4880449865200995
62,6,A,0.4925761314256673,3.359826386546122
62,6,B,0.47058918915593995,3.6876583430839407
62,6,C,0.48768009624952435,3.3065332631323874
62,10,A,0.652591607468052,2.8566409718234214
62,10,B,0.4056691752758525,3.020078113964006
62,10,C,0.6559458331603618,2.7559198356701295
62,14,A,0.5426506628462376,3.4087857879407166
62,14,B,0.481963021974838,3.6393303613357313
62,14,C,0.5714630270855453,3.151778115365498
63,6,A,0.10106499055769423,1.6285281308480466
63,6,B,0.11783187585681722,2.2287783975726083
63,6,C,0.08841129556301698,1.633480047924253
63,10,A,0.027053663358474738,1.6633983238359464
63,10,B,0.04495754934446706,2.182770850695271
63,10,C,0.027854281809133796,1.6044856178165507
63,14,A,0.03816328280409977,1.691932678134693
63,14,B,-0.0077544158503820675,2.379254179837717
63,14,C,0.03966666056923535,1.692293662110206
64,6,A,-0.05264321784255328,2.0236625753543236
64,6,B,-0.04607701838831083,2.6269634502617665
64,6,C,-0.052643217842553304,2.0236625753543236
