subject,method,calibration_size,zero_balanced_accuracy,calibrated_balanced_accuracy,gain_over_matched_zero
85,threshold,4,0.5,0.8080357142857144,0.3080357142857144
85,threshold,8,0.5,0.8422619047619048,0.34226190476190477
85,threshold,12,0.5,0.7559523809523809,0.25595238095238093
85,threshold,14,0.5,0.8020833333333334,0.30208333333333337
86,threshold,0,0.5,0.5,0.0
86,threshold,4,0.5,0.5595238095238095,0.059523809523809534
86,threshold,8,0.5,0.5267857142857143,0.0267857142857143
86,threshold,12,0.5,0.5729166666666667,0.07291666666666674
86,threshold,14,0.5,0.581845238095238,0.08184523809523803
87,threshold,0,0.5982142857142857,0.5982142857142857,0.0
87,threshold,4,0.5982142857142857,0.6190476190476191,0.02083333333333337
87,threshold,8,0.5982142857142857,0.6815476190476191,0.08333333333333337
87,threshold,12,0.5982142857142857,0.6800595238095238,0.08184523809523814
87,threshold,14,0.5982142857142857,0.6830357142857144,0.08482142857142871
89,threshold,0,0.6577380952380952,0.6577380952380952,0.0
89,threshold,4,0.6577380952380952,0.5952380952380952,-0.0625
89,threshold,8,0.6577380952380952,0.5714285714285715,-0.08630952380952372
89,threshold,12,0.6577380952380952,0.5773809523809524,-0.0803571428571428
89,threshold,14,0.6577380952380952,0.5773809523809524,-0.0803571428571428
90,threshold,0,0.5595238095238095,0.5595238095238095,0.0
90,threshold,4,0.5595238095238095,0.5863095238095237,0.02678571428571419
90,threshold,8,0.5595238095238095,0.6011904761904762,0.04166666666666663
90,threshold,12,0.5595238095238095,0.6011904761904762,0.04166666666666663
90,threshold,14,0.5595238095238095,0.5699404761904762,0.01041666666666663
91,threshold,0,0.6309523809523809,0.6309523809523809,0.0
91,threshold,4,0.6309523809523809,0.6056547619047619,-0.02529761904761907
91,threshold,8,0.6309523809523809,0.5758928571428571,-0.055059523809523836
91,threshold,12,0.6309523809523809,0.6175595238095238,-0.013392857142857095
91,threshold,14,0.6309523809523809,0.619047619047619,-0.011904761904761973
93,threshold,0,0.9553571428571429,0.9553571428571429,0.0
93,threshold,4,0.9553571428571429,0.9032738095238096,-0.05208333333333326
93,threshold,8,0.9553571428571429,0.9122023809523809,-0.043154761904761973
93,threshold,12,0.9553571428571429,0.9122023809523809,-0.043154761904761973
93,threshold,14,0.9553571428571429,0.9122023809523809,-0.043154761904761973
94,threshold,0,0.7559523809523809,0.7559523809523809,0.0
94,threshold,4,0.7559523809523809,0.7544642857142856,-0.0014880952380953438
