subject,task,model,qc_sensitivity,fold,test_run,training_runs,balanced_accuracy,accuracy,macro_f1,roc_auc,left_recall,right_recall,true_left_predicted_left,true_left_predicted_right,true_right_predicted_left,true_right_predicted_right,trial_count
50,left_vs_right_fist_imagery,spectral_baseline_6,True,2,8,4/12,0.2857142857142857,0.3076923076923077,0.23529411764705882,0.35714285714285715,0.0,0.5714285714285714,0,6,3,4,13
50,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.4642857142857143,0.46153846153846156,0.46153846153846156,0.5,0.5,0.42857142857142855,3,3,4,3,13
50,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.4017857142857143,0.4,0.4,0.4285714285714286,0.42857142857142855,0.375,3,4,5,3,15
50,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.5178571428571428,0.5333333333333333,0.49760765550239233,0.625,0.75,0.2857142857142857,6,2,5,2,15
50,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.5892857142857143,0.6,0.5833333333333333,0.6785714285714286,0.75,0.42857142857142855,6,2,4,3,15
50,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.41666666666666663,0.4,0.4,0.37499999999999994,0.5,0.3333333333333333,2,2,4,2,10
50,left_vs_right_fist_imagery,csp_4_empirical,True,2,8,4/12,0.38095238095238093,0.38461538461538464,0.38095238095238093,0.3333333333333333,0.3333333333333333,0.42857142857142855,2,4,4,3,13
50,left_vs_right_fist_imagery,csp_4_empirical,True,3,12,4/8,0.369047619047619,0.38461538461538464,0.35,0.35714285714285715,0.16666666666666666,0.5714285714285714,1,5,3,4,13
51,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.5,0.5,0.47593582887700536,0.6530612244897959,0.2857142857142857,0.7142857142857143,2,5,2,5,14
51,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.5,0.5,0.47593582887700536,0.34693877551020413,0.2857142857142857,0.7142857142857143,2,5,2,5,14
51,left_vs_right_fist_imagery,spectral_baseline_6,False,3,12,4/8,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.326530612244898,0.42857142857142855,0.42857142857142855,3,4,4,3,14
51,left_vs_right_fist_imagery,spectral_baseline_6,True,1,4,8/12,0.5,0.5,0.4666666666666667,0.6666666666666667,0.5,0.5,3,3,1,1,8
51,left_vs_right_fist_imagery,spectral_baseline_6,True,2,8,4/12,0.23809523809523808,0.23076923076923078,0.22619047619047616,0.261904761904762,0.14285714285714285,0.3333333333333333,1,6,4,2,13
51,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.3571428571428571,0.35714285714285715,0.35384615384615387,0.30612244897959184,0.42857142857142855,0.2857142857142857,3,4,5,2,14
51,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.5,0.5,0.3333333333333333,0.36734693877551017,0.0,1.0,0,7,0,7,14
51,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.5,0.5,0.49743589743589745,0.3877551020408163,0.42857142857142855,0.5714285714285714,3,4,3,4,14
51,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.42857142857142855,0.42857142857142855,0.3,0.5306122448979592,0.8571428571428571,0.0,6,1,7,0,14
51,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.5,0.75,0.42857142857142855,0.41666666666666663,1.0,0.0,6,0,2,0,8
51,left_vs_right_fist_imagery,csp_4_empirical,True,2,8,4/12,0.6071428571428572,0.6153846153846154,0.606060606060606,0.7142857142857143,0.7142857142857143,0.5,5,2,3,3,13
51,left_vs_right_fist_imagery,csp_4_empirical,True,3,12,4/8,0.6428571428571428,0.6428571428571429,0.5906432748538011,0.7959183673469388,0.2857142857142857,1.0,2,5,0,7,14
52,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.4464285714285714,0.4666666666666667,0.4,0.5178571428571428,0.75,0.14285714285714285,6,2,6,1,15
52,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.39285714285714285,0.4,0.3891402714932127,0.4642857142857143,0.5,0.2857142857142857,4,4,5,2,15
52,left_vs_right_fist_imagery,spectral_baseline_6,False,3,12,4/8,0.9285714285714286,0.9333333333333333,0.9321266968325792,0.9821428571428571,1.0,0.8571428571428571,8,0,1,6,15
52,left_vs_right_fist_imagery,spectral_baseline_6,True,1,4,8/12,0.29166666666666663,0.3,0.29292929292929293,0.4166666666666667,0.3333333333333333,0.25,2,4,3,1,10
52,left_vs_right_fist_imagery,spectral_baseline_6,True,2,8,4/12,0.39285714285714285,0.4,0.3891402714932127,0.5357142857142857,0.5,0.2857142857142857,4,4,5,2,15
52,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.625,0.7,0.6000000000000001,0.9583333333333334,0.25,1.0,1,3,0,6,10
52,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.6607142857142857,0.6666666666666666,0.660633484162896,0.7857142857142857,0.75,0.5714285714285714,6,2,3,4,15
52,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.5892857142857143,0.6,0.5833333333333333,0.7321428571428572,0.75,0.42857142857142855,6,2,4,3,15
52,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.5982142857142857,0.6,0.5982142857142857,0.8035714285714286,0.625,0.5714285714285714,5,3,3,4,15
52,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.5833333333333333,0.6,0.5833333333333333,0.49999999999999994,0.6666666666666666,0.5,4,2,2,2,10
52,left_vs_right_fist_imagery,csp_4_empirical,True,2,8,4/12,0.6696428571428572,0.6666666666666666,0.6666666666666666,0.7142857142857142,0.625,0.7142857142857143,5,3,2,5,15
52,left_vs_right_fist_imagery,csp_4_empirical,True,3,12,4/8,0.7083333333333333,0.7,0.696969696969697,0.7916666666666666,0.75,0.6666666666666666,3,1,2,4,10
53,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.4464285714285714,0.4666666666666667,0.4,0.4821428571428571,0.14285714285714285,0.75,1,6,2,6,15
53,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.4732142857142857,0.4666666666666667,0.4642857142857143,0.5714285714285714,0.5714285714285714,0.375,4,3,5,3,15
53,left_vs_right_fist_imagery,spectral_baseline_6,False,3,12,4/8,0.6696428571428572,0.6666666666666666,0.6666666666666666,0.6607142857142857,0.625,0.7142857142857143,5,3,2,5,15
53,left_vs_right_fist_imagery,spectral_baseline_6,True,1,4,8/12,0.4285714285714286,0.42857142857142855,0.37777777777777777,0.40816326530612246,0.14285714285714285,0.7142857142857143,1,6,2,5,14
53,left_vs_right_fist_imagery,spectral_baseline_6,True,2,8,4/12,0.375,0.35714285714285715,0.35384615384615387,0.5,0.5,0.25,3,3,6,2,14
53,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.6458333333333333,0.6428571428571429,0.641025641025641,0.625,0.625,0.6666666666666666,5,3,2,4,14
53,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.7232142857142857,0.7333333333333333,0.7222222222222222,0.8571428571428571,0.5714285714285714,0.875,4,3,1,7,15
53,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.9285714285714286,0.9333333333333333,0.9321266968325792,1.0,0.8571428571428571,1.0,6,1,0,8,15
53,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.7410714285714286,0.7333333333333333,0.7321428571428572,0.8571428571428571,0.625,0.8571428571428571,5,3,1,6,15
53,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.7142857142857143,0.7142857142857143,0.6888888888888889,0.8163265306122449,0.42857142857142855,1.0,3,4,0,7,14
53,left_vs_right_fist_imagery,csp_4_empirical,True,2,8,4/12,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,8,14
53,left_vs_right_fist_imagery,csp_4_empirical,True,3,12,4/8,0.6875,0.6428571428571429,0.625668449197861,0.9375,0.375,1.0,3,5,0,6,14
54,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.6428571428571428,0.6666666666666666,0.6031746031746031,0.7321428571428571,1.0,0.2857142857142857,8,0,5,2,15
54,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.7142857142857143,0.7333333333333333,0.7,0.9107142857142857,0.42857142857142855,1.0,3,4,0,8,15
54,left_vs_right_fist_imagery,spectral_baseline_6,False,3,12,4/8,0.8660714285714286,0.8666666666666667,0.8660714285714286,0.8571428571428571,0.875,0.8571428571428571,7,1,1,6,15
54,left_vs_right_fist_imagery,spectral_baseline_6,True,1,4,8/12,0.6,0.6,0.5238095238095238,0.68,1.0,0.2,5,0,4,1,10
54,left_vs_right_fist_imagery,spectral_baseline_6,True,2,8,4/12,0.7142857142857143,0.6666666666666666,0.6571428571428571,0.8857142857142857,0.42857142857142855,1.0,3,4,0,5,12
54,left_vs_right_fist_imagery,spectral_baseline_6,True,3,12,4/8,0.625,0.6428571428571429,0.625668449197861,0.6875,0.75,0.5,6,2,3,3,14
54,left_vs_right_fist_imagery,csp_4_empirical,False,1,4,8/12,0.7142857142857143,0.7333333333333333,0.7,0.6964285714285714,1.0,0.42857142857142855,8,0,4,3,15
54,left_vs_right_fist_imagery,csp_4_empirical,False,2,8,4/12,0.7857142857142857,0.8,0.784688995215311,0.9821428571428572,0.5714285714285714,1.0,4,3,0,8,15
54,left_vs_right_fist_imagery,csp_4_empirical,False,3,12,4/8,0.7857142857142857,0.8,0.784688995215311,0.7857142857142857,1.0,0.5714285714285714,8,0,3,4,15
54,left_vs_right_fist_imagery,csp_4_empirical,True,1,4,8/12,0.7,0.7,0.696969696969697,0.72,0.8,0.6,4,1,2,3,10
54,left_vs_right_fist_imagery,csp_4_empirical,True,2,8,4/12,0.7857142857142857,0.75,0.7482517482517483,0.8285714285714285,0.5714285714285714,1.0,4,3,0,5,12
54,left_vs_right_fist_imagery,csp_4_empirical,True,3,12,4/8,0.7916666666666667,0.7857142857142857,0.7846153846153847,0.8541666666666667,0.75,0.8333333333333334,6,2,1,5,14
55,left_vs_right_fist_imagery,spectral_baseline_6,False,1,4,8/12,0.5982142857142857,0.6,0.5982142857142857,0.7321428571428571,0.625,0.5714285714285714,5,3,3,4,15
55,left_vs_right_fist_imagery,spectral_baseline_6,False,2,8,4/12,0.6696428571428572,0.6666666666666666,0.6666666666666666,0.8214285714285714,0.625,0.7142857142857143,5,3,2,5,15
