development_fold,subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,training_subjects,target_adaptation_used
17,17,spectral_baseline_6,6,0.4732142857142857,0.4666666666666667,0.375,0.5714285714285714,3,5,3,4,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,False
17,17,spectral_baseline_6,10,0.7410714285714286,0.7333333333333333,0.625,0.8571428571428571,5,3,1,6,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,False
17,17,spectral_baseline_6,14,0.49107142857142855,0.4666666666666667,0.125,0.8571428571428571,1,7,1,6,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,False
17,17,csp_4_empirical,6,0.5,0.4666666666666667,0.0,1.0,0,8,0,7,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,False
17,17,csp_4_empirical,10,0.5,0.4666666666666667,0.0,1.0,0,8,0,7,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,False
17,17,csp_4_empirical,14,0.5,0.4666666666666667,0.0,1.0,0,8,0,7,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,False
18,18,spectral_baseline_6,6,0.8125,0.8,1.0,0.625,7,0,3,5,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,False
18,18,spectral_baseline_6,10,0.35714285714285715,0.3333333333333333,0.7142857142857143,0.0,5,2,8,0,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,False
18,18,spectral_baseline_6,14,0.45535714285714285,0.4666666666666667,0.625,0.2857142857142857,5,3,5,2,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,False
18,18,csp_4_empirical,6,0.625,0.6,1.0,0.25,7,0,6,2,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,False
18,18,csp_4_empirical,10,0.5625,0.5333333333333333,1.0,0.125,7,0,7,1,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,False
18,18,csp_4_empirical,14,0.5089285714285714,0.5333333333333333,0.875,0.14285714285714285,7,1,6,1,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,False
19,19,spectral_baseline_6,6,0.4732142857142857,0.4666666666666667,0.5714285714285714,0.375,4,3,5,3,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,False
19,19,spectral_baseline_6,10,0.3214285714285714,0.3333333333333333,0.14285714285714285,0.5,1,6,4,4,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,False
19,19,spectral_baseline_6,14,0.5982142857142857,0.6,0.625,0.5714285714285714,5,3,3,4,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,False
19,19,csp_4_empirical,6,0.5,0.5333333333333333,0.0,1.0,0,7,0,8,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,False
19,19,csp_4_empirical,10,0.5089285714285714,0.5333333333333333,0.14285714285714285,0.875,1,6,1,7,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,False
19,19,csp_4_empirical,14,0.5625,0.5333333333333333,0.125,1.0,1,7,0,7,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,False
20,20,spectral_baseline_6,6,0.7946428571428572,0.8,0.875,0.7142857142857143,7,1,2,5,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,False
20,20,spectral_baseline_6,10,0.6071428571428572,0.6,0.7142857142857143,0.5,5,2,4,4,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,False
20,20,spectral_baseline_6,14,0.5982142857142857,0.6,0.625,0.5714285714285714,5,3,3,4,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,False
20,20,csp_4_empirical,6,0.6071428571428572,0.6,0.5,0.7142857142857143,4,4,2,5,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,False
20,20,csp_4_empirical,10,0.5892857142857143,0.6,0.42857142857142855,0.75,3,4,2,6,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,False
20,20,csp_4_empirical,14,0.5446428571428572,0.5333333333333333,0.375,0.7142857142857143,3,5,2,5,15,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,False
