subject,test_run,size,balanced_accuracy,fists_recall,feet_recall,variant_count,test_trial_count
39,14,18,0.5892857142857143,0.75,0.42857142857142855,2,15
39,14,22,0.5491071428571428,0.8125,0.2857142857142857,2,15
39,14,26,0.5535714285714286,0.75,0.3571428571428571,2,15
39,14,28,0.5892857142857143,0.75,0.42857142857142855,1,15
40,6,14,0.4776785714285714,0.3125,0.6428571428571428,2,15
40,6,18,0.42857142857142855,0.0,0.8571428571428571,2,15
40,6,22,0.42857142857142855,0.0,0.8571428571428571,2,15
40,6,26,0.42857142857142855,0.0,0.8571428571428571,2,15
40,6,28,0.49107142857142855,0.125,0.8571428571428571,1,15
40,10,14,0.6160714285714286,0.3571428571428571,0.875,2,15
40,10,18,0.6607142857142858,0.5714285714285714,0.75,2,15
40,10,22,0.7633928571428572,0.7142857142857142,0.8125,2,15
40,10,26,0.7232142857142857,0.5714285714285714,0.875,2,15
40,10,28,0.7232142857142857,0.5714285714285714,0.875,1,15
40,14,14,0.7991071428571429,0.7857142857142857,0.8125,2,15
40,14,18,0.6785714285714286,0.3571428571428571,1.0,2,15
40,14,22,0.6205357142857143,0.42857142857142855,0.8125,2,15
40,14,26,0.5178571428571428,0.2857142857142857,0.75,2,15
40,14,28,0.7142857142857143,0.42857142857142855,1.0,1,15
41,6,14,0.75,0.9285714285714286,0.5714285714285714,2,14
41,6,18,0.6071428571428571,0.9285714285714286,0.2857142857142857,2,14
41,6,22,0.4642857142857143,0.7857142857142857,0.14285714285714285,2,14
41,6,26,0.6071428571428571,0.8571428571428571,0.3571428571428571,2,14
41,6,28,0.5714285714285714,0.8571428571428571,0.2857142857142857,1,14
41,10,14,0.5,0.9285714285714286,0.07142857142857142,2,14
41,10,18,0.6071428571428571,0.6428571428571428,0.5714285714285714,2,14
41,10,22,0.6785714285714286,0.9285714285714286,0.4285714285714286,2,14
41,10,26,0.6071428571428571,0.7857142857142857,0.42857142857142855,2,14
41,10,28,0.5,0.7142857142857143,0.2857142857142857,1,14
41,14,14,0.6071428571428571,0.42857142857142855,0.7857142857142857,2,14
41,14,18,0.5714285714285714,0.6428571428571428,0.5,2,14
