accuracy,balanced_accuracy,feet_recall,fists_recall,fold,macro_f1,model,qc_sensitivity,roc_auc,subject,test_run,training_runs,trial_count,true_feet_predicted_feet,true_feet_predicted_fists,true_fists_predicted_feet,true_fists_predicted_fists
0.8333333333333334,0.8571428571428572,0.7142857142857143,1.0,3,0.8333333333333334,spectral_baseline_6,True,0.9714285714285715,93,14,6/10,12,5,2,0,5
0.9333333333333333,0.9285714285714286,0.8571428571428571,1.0,1,0.9321266968325792,csp_4_empirical,False,1.0,93,6,10/14,15,6,1,0,8
0.9333333333333333,0.9375,1.0,0.875,2,0.9333333333333333,csp_4_empirical,False,0.9107142857142857,93,10,6/14,15,7,0,1,7
0.8,0.8035714285714286,0.75,0.8571428571428571,3,0.8,csp_4_empirical,False,0.9107142857142858,93,14,6/10,15,6,2,1,6
0.8888888888888888,0.875,0.75,1.0,1,0.8831168831168831,csp_4_empirical,True,0.8,93,6,10/14,9,3,1,0,5
0.9285714285714286,0.9285714285714286,1.0,0.8571428571428571,2,0.9282051282051282,csp_4_empirical,True,0.8979591836734695,93,10,6/14,14,7,0,1,6
0.9166666666666666,0.9285714285714286,0.8571428571428571,1.0,3,0.916083916083916,csp_4_empirical,True,0.9714285714285715,93,14,6/10,12,6,1,0,5
0.4,0.4017857142857143,0.375,0.42857142857142855,1,0.4,spectral_baseline_6,False,0.41071428571428575,94,6,10/14,15,3,5,4,3
0.6666666666666666,0.6785714285714286,0.8571428571428571,0.5,2,0.660633484162896,spectral_baseline_6,False,0.6607142857142857,94,10,6/14,15,6,1,4,4
0.5333333333333333,0.5446428571428572,0.375,0.7142857142857143,3,0.5248868778280543,spectral_baseline_6,False,0.5535714285714286,94,14,6/10,15,3,5,2,5
0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,1,0.5714285714285714,spectral_baseline_6,True,0.5833333333333333,94,6,10/14,7,2,2,1,2
0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,2,0.7142857142857143,spectral_baseline_6,True,0.673469387755102,94,10,6/14,14,5,2,2,5
0.6923076923076923,0.7142857142857143,0.42857142857142855,1.0,3,0.675,spectral_baseline_6,True,0.9047619047619048,94,14,6/10,13,3,4,0,6
0.6,0.5714285714285714,1.0,0.14285714285714285,1,0.48863636363636365,csp_4_empirical,False,0.8571428571428572,94,6,10/14,15,8,0,6,1
0.7333333333333333,0.7410714285714286,0.8571428571428571,0.625,2,0.7321428571428572,csp_4_empirical,False,0.9107142857142857,94,10,6/14,15,6,1,3,5
0.8,0.8035714285714286,0.75,0.8571428571428571,3,0.8,csp_4_empirical,False,0.8928571428571429,94,14,6/10,15,6,2,1,6
0.7142857142857143,0.75,0.5,1.0,1,0.7083333333333333,csp_4_empirical,True,1.0,94,6,10/14,7,2,2,0,3
0.9285714285714286,0.9285714285714286,1.0,0.8571428571428571,2,0.9282051282051282,csp_4_empirical,True,1.0,94,10,6/14,14,7,0,1,6
0.6923076923076923,0.6904761904761905,0.7142857142857143,0.6666666666666666,3,0.6904761904761905,csp_4_empirical,True,0.7857142857142858,94,14,6/10,13,5,2,2,4
0.6666666666666666,0.6696428571428572,0.7142857142857143,0.625,1,0.6666666666666666,spectral_baseline_6,False,0.7321428571428571,95,6,10/14,15,5,2,3,5
0.7333333333333333,0.7232142857142857,0.875,0.5714285714285714,2,0.7222222222222222,spectral_baseline_6,False,0.7321428571428572,95,10,6/14,15,7,1,3,4
0.7333333333333333,0.75,0.5,1.0,3,0.7222222222222222,spectral_baseline_6,False,0.875,95,14,6/10,15,4,4,0,7
0.8,0.8333333333333333,1.0,0.6666666666666666,1,0.8,spectral_baseline_6,True,1.0,95,6,10/14,10,4,0,2,4
0.8888888888888888,0.9166666666666667,0.8333333333333334,1.0,2,0.8831168831168831,spectral_baseline_6,True,1.0,95,10,6/14,9,5,1,0,3
0.5,0.5,0.3333333333333333,0.6666666666666666,3,0.4857142857142857,spectral_baseline_6,True,0.7777777777777779,95,14,6/10,12,2,4,2,4
0.8666666666666667,0.875,1.0,0.75,1,0.8660714285714286,csp_4_empirical,False,0.875,95,6,10/14,15,7,0,2,6
0.5333333333333333,0.5089285714285714,0.875,0.14285714285714285,2,0.4444444444444444,csp_4_empirical,False,0.25000000000000006,95,10,6/14,15,7,1,6,1
0.8666666666666667,0.875,0.75,1.0,3,0.8660714285714286,csp_4_empirical,False,0.9285714285714286,95,14,6/10,15,6,2,0,7
0.4,0.5,1.0,0.0,1,0.2857142857142857,csp_4_empirical,True,0.7916666666666667,95,6,10/14,10,4,0,6,0
0.7777777777777778,0.6666666666666666,1.0,0.3333333333333333,2,0.6785714285714286,csp_4_empirical,True,0.4444444444444445,95,10,6/14,9,6,0,2,1
0.9166666666666666,0.9166666666666667,1.0,0.8333333333333334,3,0.916083916083916,csp_4_empirical,True,0.888888888888889,95,14,6/10,12,6,0,1,5
0.4,0.39285714285714285,0.5,0.2857142857142857,1,0.3891402714932127,spectral_baseline_6,False,0.5178571428571429,96,6,10/14,15,4,4,5,2
