subject,model,primary_mean_run_balanced_accuracy,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,participant_run_range,pooled_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,group_observational_unit,zero_shot,target_adaptation_used
59,shrinkage_lda,0.5208333333333334,0.5625,0.5,0.5,0.0625,0.5227272727272727,0.5333333333333333,0.045454545454545456,1.0,1,21,0,23,45,False,participant,True,False
59,shrinkage_lda,0.5208333333333334,0.5625,0.5,0.5,0.0625,0.5294117647058824,0.5555555555555556,0.058823529411764705,1.0,1,16,0,19,36,True,participant,True,False
60,shrinkage_lda,0.5625,0.5625,0.5,0.625,0.125,0.5625,0.5333333333333333,1.0,0.125,21,0,21,3,45,False,participant,True,False
60,shrinkage_lda,0.5625,0.5625,0.5,0.625,0.125,0.5625,0.5,1.0,0.125,18,0,21,3,42,True,participant,True,False
61,shrinkage_lda,0.6726190476190478,0.7410714285714286,0.4107142857142857,0.8660714285714286,0.4553571428571429,0.6726190476190477,0.6666666666666666,0.5833333333333334,0.7619047619047619,14,10,5,16,45,False,participant,True,False
61,shrinkage_lda,0.6630952380952381,0.7410714285714286,0.4107142857142857,0.8375,0.4267857142857143,0.6600877192982456,0.6511627906976745,0.5833333333333334,0.7368421052631579,14,10,5,14,43,True,participant,True,False
62,shrinkage_lda,0.6309523809523809,0.5714285714285714,0.75,0.5714285714285714,0.1785714285714286,0.6363636363636364,0.6444444444444445,1.0,0.2727272727272727,23,0,16,6,45,False,participant,True,False
62,shrinkage_lda,0.6944444444444445,0.5833333333333334,0.75,0.75,0.16666666666666663,0.6785714285714286,0.71875,1.0,0.35714285714285715,18,0,9,5,32,True,participant,True,False
63,shrinkage_lda,0.5625,0.5446428571428572,0.4017857142857143,0.7410714285714286,0.3392857142857143,0.5573122529644269,0.5555555555555556,0.6363636363636364,0.4782608695652174,14,8,12,11,45,False,participant,True,False
63,shrinkage_lda,0.5416666666666666,0.4583333333333333,0.26666666666666666,0.9,0.6333333333333333,0.5476190476190476,0.5625,0.6666666666666666,0.42857142857142855,12,6,8,6,32,True,participant,True,False
64,shrinkage_lda,0.5238095238095238,0.5,0.6428571428571428,0.42857142857142855,0.21428571428571425,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,11,10,10,11,42,False,participant,True,False
64,shrinkage_lda,0.5238095238095238,0.5,0.6428571428571428,0.42857142857142855,0.21428571428571425,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,11,10,10,11,42,True,participant,True,False
65,shrinkage_lda,0.46428571428571425,0.5357142857142857,0.3214285714285714,0.5357142857142857,0.2142857142857143,0.4654150197628458,0.4666666666666667,0.4090909090909091,0.5217391304347826,9,13,11,12,45,False,participant,True,False
65,shrinkage_lda,0.5,0.7,0.3,0.5,0.39999999999999997,0.4930555555555556,0.5,0.375,0.6111111111111112,6,10,7,11,34,True,participant,True,False
66,shrinkage_lda,0.3898809523809524,0.42857142857142855,0.45535714285714285,0.2857142857142857,0.16964285714285715,0.38438735177865613,0.37777777777777777,0.6818181818181818,0.08695652173913043,15,7,21,2,45,False,participant,True,False
66,shrinkage_lda,0.3898809523809524,0.42857142857142855,0.45535714285714285,0.2857142857142857,0.16964285714285715,0.38438735177865613,0.37777777777777777,0.6818181818181818,0.08695652173913043,15,7,21,2,45,True,participant,True,False
