subject,task,model,qc_sensitivity,primary_mean_fold_balanced_accuracy,fold_balanced_accuracy_run_4,fold_balanced_accuracy_run_8,fold_balanced_accuracy_run_12,fold_balanced_accuracy_range,folds_above_chance_count,out_of_fold_balanced_accuracy,out_of_fold_accuracy,out_of_fold_macro_f1,out_of_fold_roc_auc,out_of_fold_left_recall,out_of_fold_right_recall,out_of_fold_true_left_predicted_left,out_of_fold_true_left_predicted_right,out_of_fold_true_right_predicted_left,out_of_fold_true_right_predicted_right,out_of_fold_trial_count,included_trial_count,group_observational_unit
79,left_vs_right_fist_imagery,spectral_baseline_6,True,0.5863095238095237,0.5,0.5982142857142857,0.6607142857142857,0.1607142857142857,2,0.5954545454545455,0.5952380952380952,0.595008508224617,0.6909090909090908,0.6,0.5909090909090909,12,8,9,13,42,42,participant
79,left_vs_right_fist_imagery,csp_4_empirical,False,0.44642857142857145,0.5,0.5267857142857143,0.3125,0.2142857142857143,1,0.4377470355731225,0.4444444444444444,0.3849097867687261,0.5948616600790514,0.13636363636363635,0.7391304347826086,3,19,6,17,45,45,participant
79,left_vs_right_fist_imagery,csp_4_empirical,True,0.511904761904762,0.5,0.5892857142857143,0.4464285714285714,0.1428571428571429,1,0.5090909090909091,0.5238095238095238,0.4642857142857143,0.5818181818181818,0.2,0.8181818181818182,4,16,4,18,42,42,participant
80,left_vs_right_fist_imagery,spectral_baseline_6,False,0.4166666666666667,0.4017857142857143,0.3214285714285714,0.5267857142857143,0.2053571428571429,1,0.4199604743083004,0.4222222222222222,0.415,0.349802371541502,0.5217391304347826,0.3181818181818182,12,11,15,7,45,45,participant
80,left_vs_right_fist_imagery,spectral_baseline_6,True,0.511904761904762,0.4857142857142857,0.55,0.5,0.06428571428571433,1,0.513157894736842,0.5151515151515151,0.5111111111111111,0.49624060150375937,0.5,0.5263157894736842,7,7,9,10,33,33,participant
80,left_vs_right_fist_imagery,csp_4_empirical,False,0.6398809523809524,0.5892857142857143,0.6160714285714286,0.7142857142857143,0.125,3,0.6452569169960474,0.6444444444444445,0.6442687747035574,0.6225296442687748,0.6086956521739131,0.6818181818181818,14,9,7,15,45,45,participant
80,left_vs_right_fist_imagery,csp_4_empirical,True,0.5261904761904762,0.4571428571428572,0.55,0.5714285714285714,0.11428571428571421,2,0.5018796992481203,0.5454545454545454,0.47619047619047616,0.45864661654135336,0.21428571428571427,0.7894736842105263,3,11,4,15,33,33,participant
81,left_vs_right_fist_imagery,spectral_baseline_6,False,0.5863095238095237,0.6875,0.6607142857142857,0.4107142857142857,0.2767857142857143,2,0.5780632411067194,0.5777777777777777,0.5777777777777777,0.5988142292490117,0.5909090909090909,0.5652173913043478,13,9,10,13,45,45,participant
81,left_vs_right_fist_imagery,spectral_baseline_6,True,0.6190476190476191,0.6041666666666667,0.7083333333333333,0.5446428571428572,0.16369047619047605,3,0.6043478260869566,0.6046511627906976,0.6037940379403794,0.6173913043478261,0.6,0.6086956521739131,12,8,9,14,43,43,participant
81,left_vs_right_fist_imagery,csp_4_empirical,False,0.45238095238095233,0.3482142857142857,0.5803571428571428,0.42857142857142855,0.2321428571428571,1,0.4407114624505929,0.4444444444444444,0.4263131055583886,0.450592885375494,0.2727272727272727,0.6086956521739131,6,16,9,14,45,45,participant
81,left_vs_right_fist_imagery,csp_4_empirical,True,0.560515873015873,0.41666666666666663,0.6666666666666666,0.5982142857142857,0.25,2,0.5728260869565217,0.5813953488372093,0.5700000000000001,0.5086956521739131,0.45,0.6956521739130435,9,11,7,16,43,43,participant
82,left_vs_right_fist_imagery,spectral_baseline_6,False,0.4702380952380953,0.5267857142857143,0.2767857142857143,0.6071428571428572,0.3303571428571429,2,0.4654150197628458,0.4666666666666667,0.4642857142857143,0.44861660079051385,0.5217391304347826,0.4090909090909091,12,11,13,9,45,45,participant
82,left_vs_right_fist_imagery,spectral_baseline_6,True,0.3349206349206349,0.3333333333333333,0.3214285714285714,0.35,0.02857142857142858,0,0.33333333333333337,0.3333333333333333,0.2987012987012987,0.39814814814814814,0.5555555555555556,0.1111111111111111,10,8,16,2,36,36,participant
82,left_vs_right_fist_imagery,csp_4_empirical,False,0.6845238095238096,0.6875,0.5625,0.8035714285714286,0.2410714285714286,3,0.6660079051383399,0.6666666666666666,0.6660069272637308,0.6126482213438735,0.6956521739130435,0.6363636363636364,16,7,8,14,45,45,participant
82,left_vs_right_fist_imagery,csp_4_empirical,True,0.7166666666666668,0.5833333333333334,0.75,0.8166666666666667,0.23333333333333328,3,0.7222222222222222,0.7222222222222222,0.7077922077922079,0.7623456790123457,0.5,0.9444444444444444,9,9,1,17,36,36,participant
83,left_vs_right_fist_imagery,spectral_baseline_6,False,0.6160714285714285,0.7232142857142857,0.4107142857142857,0.7142857142857143,0.3125,2,0.6225296442687747,0.6222222222222222,0.6222222222222222,0.6027667984189723,0.6363636363636364,0.6086956521739131,14,8,9,14,45,45,participant
83,left_vs_right_fist_imagery,spectral_baseline_6,True,0.6517857142857143,0.7410714285714286,0.5,0.7142857142857143,0.2410714285714286,2,0.6228070175438596,0.625,0.6228786926461345,0.6541353383458647,0.5789473684210527,0.6666666666666666,11,8,7,14,40,40,participant
83,left_vs_right_fist_imagery,csp_4_empirical,False,0.5238095238095238,0.6785714285714286,0.4642857142857143,0.42857142857142855,0.25000000000000006,1,0.5128458498023716,0.5111111111111111,0.5089285714285714,0.4980237154150198,0.5909090909090909,0.43478260869565216,13,9,13,10,45,45,participant
83,left_vs_right_fist_imagery,csp_4_empirical,True,0.6121031746031745,0.7321428571428572,0.4375,0.6666666666666666,0.2946428571428572,2,0.6328320802005012,0.625,0.6190476190476191,0.7593984962406015,0.7894736842105263,0.47619047619047616,15,4,11,10,40,40,participant
84,left_vs_right_fist_imagery,spectral_baseline_6,False,0.6488095238095238,0.48214285714285715,0.7232142857142857,0.7410714285714286,0.25892857142857145,2,0.6442687747035574,0.6444444444444445,0.6442687747035574,0.6778656126482214,0.6521739130434783,0.6363636363636364,15,8,8,14,45,45,participant
84,left_vs_right_fist_imagery,spectral_baseline_6,True,0.7253968253968255,0.7333333333333334,0.6142857142857143,0.8285714285714285,0.2142857142857142,3,0.7124183006535948,0.7142857142857143,0.712171052631579,0.7679738562091503,0.7777777777777778,0.6470588235294118,14,4,6,11,35,35,participant
84,left_vs_right_fist_imagery,csp_4_empirical,False,0.4970238095238095,0.5357142857142857,0.41964285714285715,0.5357142857142857,0.11607142857142855,2,0.491106719367589,0.4888888888888889,0.48481831757093086,0.5592885375494071,0.391304347826087,0.5909090909090909,9,14,9,13,45,45,participant
84,left_vs_right_fist_imagery,csp_4_empirical,True,0.565873015873016,0.5833333333333334,0.6571428571428571,0.4571428571428572,0.19999999999999996,2,0.5735294117647058,0.5714285714285714,0.5700245700245701,0.5261437908496732,0.5,0.6470588235294118,9,9,6,11,35,35,participant
85,left_vs_right_fist_imagery,spectral_baseline_6,False,0.7321428571428571,0.875,0.6607142857142857,0.6607142857142857,0.2142857142857143,3,0.7341897233201581,0.7333333333333333,0.733201581027668,0.7865612648221344,0.6956521739130435,0.7727272727272727,16,7,5,17,45,45,participant
85,left_vs_right_fist_imagery,spectral_baseline_6,True,0.7509920634920636,0.9375,0.6904761904761905,0.625,0.3125,3,0.75,0.7428571428571429,0.7394540942928041,0.7789115646258503,0.7142857142857143,0.7857142857142857,15,6,3,11,35,35,participant
85,left_vs_right_fist_imagery,csp_4_empirical,False,0.8363095238095237,0.7946428571428572,0.7857142857142857,0.9285714285714286,0.1428571428571429,3,0.842885375494071,0.8444444444444444,0.8432055749128919,0.9347826086956522,0.9130434782608695,0.7727272727272727,21,2,5,17,45,45,participant
85,left_vs_right_fist_imagery,csp_4_empirical,True,0.8263888888888888,0.9375,0.6666666666666666,0.875,0.27083333333333337,3,0.7976190476190477,0.8285714285714286,0.8097826086956521,0.8673469387755102,0.9523809523809523,0.6428571428571429,20,1,5,9,35,35,participant
86,left_vs_right_fist_imagery,spectral_baseline_6,False,0.5238095238095238,0.5357142857142857,0.4464285714285714,0.5892857142857143,0.1428571428571429,2,0.5296442687747036,0.5333333333333333,0.5181030086690463,0.5395256916996047,0.36363636363636365,0.6956521739130435,8,14,7,16,45,45,participant
86,left_vs_right_fist_imagery,spectral_baseline_6,True,0.4849206349206349,0.5,0.3214285714285714,0.6333333333333333,0.3119047619047619,1,0.4457236842105263,0.45714285714285713,0.44070647603027757,0.4506578947368421,0.3125,0.5789473684210527,5,11,8,11,35,35,participant
86,left_vs_right_fist_imagery,csp_4_empirical,False,0.5238095238095238,0.5,0.5714285714285714,0.5,0.0714285714285714,1,0.5523715415019763,0.5555555555555556,0.5445344129554656,0.650197628458498,0.4090909090909091,0.6956521739130435,9,13,7,16,45,45,participant
86,left_vs_right_fist_imagery,csp_4_empirical,True,0.5029761904761905,0.5,0.5089285714285714,0.5,0.008928571428571397,1,0.5345394736842105,0.5428571428571428,0.5333333333333333,0.5953947368421052,0.4375,0.631578947368421,7,9,7,12,35,35,participant
87,left_vs_right_fist_imagery,spectral_baseline_6,False,0.42559523809523814,0.3482142857142857,0.6071428571428572,0.3214285714285714,0.2857142857142858,1,0.4199604743083004,0.4222222222222222,0.415,0.4407114624505929,0.3181818181818182,0.5217391304347826,7,15,11,12,45,45,participant
87,left_vs_right_fist_imagery,spectral_baseline_6,True,0.458531746031746,0.4857142857142857,0.7232142857142857,0.16666666666666666,0.5565476190476191,1,0.5095238095238095,0.5277777777777778,0.5092221331194867,0.4793650793650794,0.4,0.6190476190476191,6,9,8,13,36,36,participant
87,left_vs_right_fist_imagery,csp_4_empirical,False,0.49107142857142855,0.3392857142857143,0.4732142857142857,0.6607142857142857,0.3214285714285714,1,0.48814229249011853,0.4888888888888889,0.48787728847105394,0.5573122529644269,0.45454545454545453,0.5217391304347826,10,12,11,12,45,45,participant
87,left_vs_right_fist_imagery,csp_4_empirical,True,0.5517857142857143,0.4857142857142857,0.41964285714285715,0.75,0.33035714285714285,1,0.5380952380952381,0.5277777777777778,0.5274131274131274,0.5523809523809524,0.6,0.47619047619047616,9,6,11,10,36,36,participant
89,left_vs_right_fist_imagery,spectral_baseline_6,False,0.6904761904761906,0.7321428571428572,0.6071428571428572,0.7321428571428572,0.125,3,0.6904761904761905,0.6888888888888889,0.6887351778656126,0.7718253968253969,0.6666666666666666,0.7142857142857143,16,8,6,15,45,45,participant
89,left_vs_right_fist_imagery,spectral_baseline_6,True,0.7388888888888889,0.8166666666666667,0.6666666666666667,0.7333333333333334,0.1499999999999999,3,0.7326388888888888,0.7352941176470589,0.7332170880557978,0.7569444444444444,0.6875,0.7777777777777778,11,5,4,14,34,34,participant
89,left_vs_right_fist_imagery,csp_4_empirical,False,0.6190476190476191,0.5,0.7410714285714286,0.6160714285714286,0.2410714285714286,2,0.6190476190476191,0.6222222222222222,0.6192135390741662,0.5972222222222222,0.6666666666666666,0.5714285714285714,16,8,9,12,45,45,participant
89,left_vs_right_fist_imagery,csp_4_empirical,True,0.6555555555555556,0.5,0.75,0.7166666666666667,0.25,2,0.6493055555555556,0.6470588235294118,0.6470588235294118,0.5833333333333334,0.6875,0.6111111111111112,11,5,7,11,34,34,participant
90,left_vs_right_fist_imagery,spectral_baseline_6,False,0.5178571428571429,0.4642857142857143,0.4642857142857143,0.625,0.1607142857142857,1,0.5079051383399209,0.5111111111111111,0.4989878542510121,0.4347826086956522,0.36363636363636365,0.6521739130434783,8,14,8,15,45,45,participant
90,left_vs_right_fist_imagery,spectral_baseline_6,True,0.6339285714285714,0.6517857142857143,0.5357142857142857,0.7142857142857142,0.1785714285714285,3,0.6363636363636364,0.6428571428571429,0.6326530612244898,0.5727272727272728,0.5,0.7727272727272727,10,10,5,17,42,42,participant
90,left_vs_right_fist_imagery,csp_4_empirical,False,0.5595238095238095,0.6517857142857143,0.4642857142857143,0.5625,0.1875,2,0.5503952569169961,0.5555555555555556,0.5273109243697479,0.5553359683794467,0.3181818181818182,0.782608695652174,7,15,5,18,45,45,participant
90,left_vs_right_fist_imagery,csp_4_empirical,True,0.5952380952380952,0.5357142857142857,0.5357142857142857,0.7142857142857143,0.1785714285714286,3,0.5954545454545455,0.5952380952380952,0.595008508224617,0.6568181818181817,0.6,0.5909090909090909,12,8,9,13,42,42,participant
91,left_vs_right_fist_imagery,spectral_baseline_6,False,0.5625,0.4464285714285714,0.7410714285714286,0.5,0.2946428571428572,1,0.5770750988142292,0.5777777777777777,0.5769421078673924,0.6047430830039525,0.5454545454545454,0.6086956521739131,12,10,9,14,45,45,participant
91,left_vs_right_fist_imagery,spectral_baseline_6,True,0.5535714285714285,0.4464285714285714,0.7142857142857142,0.5,0.2678571428571428,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5986394557823129,0.5714285714285714,0.5714285714285714,12,9,9,12,42,42,participant
91,left_vs_right_fist_imagery,csp_4_empirical,False,0.49702380952380953,0.48214285714285715,0.5089285714285714,0.5,0.026785714285714246,1,0.5029644268774703,0.5111111111111111,0.42972350230414746,0.549407114624506,0.13636363636363635,0.8695652173913043,3,19,3,20,45,45,participant
91,left_vs_right_fist_imagery,csp_4_empirical,True,0.6200396825396826,0.49107142857142855,0.8571428571428572,0.5119047619047619,0.36607142857142866,2,0.6190476190476191,0.6190476190476191,0.5851851851851853,0.6371882086167802,0.3333333333333333,0.9047619047619048,7,14,2,19,42,42,participant
93,left_vs_right_fist_imagery,spectral_baseline_6,False,0.6279761904761906,0.5446428571428572,0.7321428571428572,0.6071428571428572,0.1875,3,0.6225296442687747,0.6222222222222222,0.6222222222222222,0.683794466403162,0.6086956521739131,0.6363636363636364,14,9,8,14,45,45,participant
93,left_vs_right_fist_imagery,spectral_baseline_6,True,0.615079365079365,0.3333333333333333,0.8333333333333333,0.6785714285714286,0.49999999999999994,2,0.6696428571428572,0.6666666666666666,0.6666666666666666,0.7053571428571429,0.625,0.7142857142857143,10,6,4,10,30,30,participant
93,left_vs_right_fist_imagery,csp_4_empirical,False,0.7410714285714285,0.6160714285714286,0.8125,0.7946428571428572,0.1964285714285714,3,0.7371541501976284,0.7333333333333333,0.7267206477732794,0.8221343873517787,0.5652173913043478,0.9090909090909091,13,10,2,20,45,45,participant
93,left_vs_right_fist_imagery,csp_4_empirical,True,0.7166666666666667,1.0,0.4,0.75,0.6,2,0.6696428571428572,0.6666666666666666,0.6666666666666666,0.7544642857142857,0.625,0.7142857142857143,10,6,4,10,30,30,participant
94,left_vs_right_fist_imagery,spectral_baseline_6,False,0.6190476190476191,0.7321428571428572,0.5982142857142857,0.5267857142857143,0.2053571428571429,3,0.6225296442687747,0.6222222222222222,0.6222222222222222,0.5770750988142292,0.6363636363636364,0.6086956521739131,14,8,9,14,45,45,participant
94,left_vs_right_fist_imagery,spectral_baseline_6,True,0.5976190476190476,0.775,0.5625,0.45535714285714285,0.3196428571428572,2,0.5805555555555556,0.5789473684210527,0.5789473684210527,0.5444444444444445,0.6111111111111112,0.55,11,7,9,11,38,38,participant
94,left_vs_right_fist_imagery,csp_4_empirical,False,0.8422619047619048,0.8125,0.9285714285714286,0.7857142857142857,0.1428571428571429,3,0.8468379446640316,0.8444444444444444,0.8432055749128919,0.8794466403162056,0.9545454545454546,0.7391304347826086,21,1,6,17,45,45,participant
94,left_vs_right_fist_imagery,csp_4_empirical,True,0.8873015873015874,0.9,0.8333333333333333,0.9285714285714286,0.09523809523809534,3,0.8944444444444444,0.8947368421052632,0.8944444444444444,0.9333333333333332,0.8888888888888888,0.9,16,2,2,18,38,38,participant
95,left_vs_right_fist_imagery,spectral_baseline_6,False,0.6071428571428572,0.5535714285714286,0.6607142857142857,0.6071428571428572,0.1071428571428571,3,0.5978260869565217,0.6,0.595,0.6126482213438735,0.6956521739130435,0.5,16,7,11,11,45,45,participant
