subject,model,qc_sensitivity,primary_mean_fold_balanced_accuracy,fold_balanced_accuracy_run_6,fold_balanced_accuracy_run_10,fold_balanced_accuracy_run_14,folds_above_chance_count,fold_balanced_accuracy_range,out_of_fold_balanced_accuracy,out_of_fold_accuracy,out_of_fold_macro_f1,out_of_fold_roc_auc,out_of_fold_fists_recall,out_of_fold_feet_recall,out_of_fold_true_fists_predicted_fists,out_of_fold_true_fists_predicted_feet,out_of_fold_true_feet_predicted_fists,out_of_fold_true_feet_predicted_feet,out_of_fold_trial_count,qc_candidate_count,included_trial_count,group_observational_unit
14,csp_4_ledoit_wolf,True,0.6347222222222223,0.8,0.4375,0.6666666666666666,2,0.36250000000000004,0.625,0.6571428571428571,0.6195652173913043,0.64,0.85,0.4,17,3,9,6,35,10,35,participant
14,csp_6_ledoit_wolf,False,0.6190476190476191,0.625,0.5178571428571428,0.7142857142857143,3,0.1964285714285715,0.6190476190476191,0.6222222222222222,0.6192135390741662,0.632936507936508,0.6666666666666666,0.5714285714285714,16,8,9,12,45,10,45,participant
14,csp_6_ledoit_wolf,True,0.5069444444444445,0.5,0.4375,0.5833333333333334,1,0.14583333333333337,0.49166666666666664,0.5428571428571428,0.44000000000000006,0.6299999999999999,0.85,0.13333333333333333,17,3,13,2,35,10,35,participant
15,spectral_baseline_6,False,0.511904761904762,0.6696428571428572,0.3392857142857143,0.5267857142857143,2,0.3303571428571429,0.5108695652173914,0.5111111111111111,0.5108695652173914,0.49604743083003955,0.5,0.5217391304347826,11,11,11,12,45,15,45,participant
15,spectral_baseline_6,True,0.5297619047619048,0.55,0.425,0.6142857142857143,2,0.18928571428571433,0.5401785714285714,0.5333333333333333,0.53125,0.6116071428571429,0.6428571428571429,0.4375,9,5,9,7,30,15,30,participant
15,spectral_baseline_9,False,0.7321428571428572,0.6696428571428572,0.8660714285714286,0.6607142857142857,3,0.2053571428571429,0.7322134387351779,0.7333333333333333,0.7321428571428572,0.7865612648221345,0.6818181818181818,0.782608695652174,15,7,5,18,45,15,45,participant
15,spectral_baseline_9,True,0.6095238095238096,0.675,0.525,0.6285714285714286,3,0.15000000000000002,0.6339285714285714,0.6333333333333333,0.6329254727474972,0.75,0.6428571428571429,0.625,9,5,6,10,30,15,30,participant
15,csp_4_empirical,False,0.8630952380952381,0.7857142857142857,0.875,0.9285714285714286,3,0.1428571428571429,0.8685770750988142,0.8666666666666667,0.8660714285714286,0.9565217391304348,0.9545454545454546,0.782608695652174,21,1,5,18,45,15,45,participant
15,csp_4_empirical,True,0.7142857142857143,0.5,1.0,0.6428571428571428,2,0.5,0.6875,0.6666666666666666,0.6411483253588517,0.7232142857142857,1.0,0.375,14,0,10,6,30,15,30,participant
15,csp_4_ledoit_wolf,False,0.8869047619047619,0.8571428571428572,0.875,0.9285714285714286,3,0.0714285714285714,0.8903162055335969,0.8888888888888888,0.8886689757545769,0.9466403162055336,0.9545454545454546,0.8260869565217391,21,1,4,19,45,15,45,participant
15,csp_4_ledoit_wolf,True,0.6726190476190476,0.5,0.875,0.6428571428571428,2,0.375,0.65625,0.6333333333333333,0.5970695970695971,0.7410714285714286,1.0,0.3125,14,0,11,5,30,15,30,participant
15,csp_6_ledoit_wolf,False,0.7708333333333334,0.6428571428571428,0.8125,0.8571428571428572,3,0.2142857142857144,0.7806324110671936,0.7777777777777778,0.775,0.8735177865612648,0.9090909090909091,0.6521739130434783,20,2,8,15,45,15,45,participant
15,csp_6_ledoit_wolf,True,0.7142857142857143,0.5,1.0,0.6428571428571428,2,0.5,0.6875,0.6666666666666666,0.6411483253588517,0.6964285714285714,1.0,0.375,14,0,10,6,30,15,30,participant
16,spectral_baseline_6,False,0.46428571428571425,0.45535714285714285,0.4732142857142857,0.4642857142857143,0,0.01785714285714285,0.4642857142857143,0.4666666666666667,0.4642857142857143,0.46031746031746035,0.5,0.42857142857142855,12,12,12,9,45,5,45,participant
16,spectral_baseline_6,True,0.49404761904761907,0.5892857142857143,0.47619047619047616,0.41666666666666663,1,0.17261904761904767,0.4987468671679198,0.5,0.4987468671679198,0.5162907268170426,0.5238095238095238,0.47368421052631576,11,10,10,9,40,5,40,participant
16,spectral_baseline_9,False,0.5059523809523809,0.6517857142857143,0.4107142857142857,0.45535714285714285,1,0.2410714285714286,0.5059523809523809,0.5111111111111111,0.505,0.5,0.5833333333333334,0.42857142857142855,14,10,12,9,45,5,45,participant
16,spectral_baseline_9,True,0.5674603174603176,0.7142857142857143,0.48809523809523814,0.5,1,0.22619047619047616,0.5726817042606516,0.575,0.5725958516656191,0.5087719298245614,0.6190476190476191,0.5263157894736842,13,8,9,10,40,5,40,participant
16,csp_4_empirical,False,0.5892857142857143,0.6071428571428572,0.6517857142857143,0.5089285714285714,3,0.1428571428571429,0.5892857142857143,0.6,0.5833333333333333,0.6448412698412698,0.75,0.42857142857142855,18,6,12,9,45,5,45,participant
16,csp_4_empirical,True,0.6507936507936507,0.5357142857142857,0.75,0.6666666666666666,3,0.2142857142857143,0.6416040100250626,0.65,0.6354166666666667,0.7042606516290727,0.8095238095238095,0.47368421052631576,17,4,10,9,40,5,40,participant
16,csp_4_ledoit_wolf,False,0.5922619047619048,0.6071428571428572,0.6517857142857143,0.5178571428571428,3,0.1339285714285715,0.5922619047619048,0.6,0.590080971659919,0.6428571428571429,0.7083333333333334,0.47619047619047616,17,7,11,10,45,5,45,participant
16,csp_4_ledoit_wolf,True,0.6746031746031745,0.6071428571428572,0.75,0.6666666666666666,3,0.1428571428571428,0.6679197994987469,0.675,0.6647324306898775,0.7092731829573935,0.8095238095238095,0.5263157894736842,17,4,9,10,40,5,40,participant
16,csp_6_ledoit_wolf,False,0.6517857142857143,0.45535714285714285,0.8571428571428572,0.6428571428571428,2,0.40178571428571436,0.6517857142857143,0.6666666666666666,0.6411483253588517,0.7301587301587302,0.875,0.42857142857142855,21,3,12,9,45,5,45,participant
16,csp_6_ledoit_wolf,True,0.7033730158730158,0.5267857142857143,0.9166666666666667,0.6666666666666666,3,0.38988095238095244,0.6917293233082706,0.7,0.6875,0.7293233082706767,0.8571428571428571,0.5263157894736842,18,3,9,10,40,5,40,participant
17,spectral_baseline_6,False,0.5654761904761904,0.5625,0.4732142857142857,0.6607142857142857,2,0.1875,0.5654761904761905,0.5555555555555556,0.55,0.5912698412698413,0.4166666666666667,0.7142857142857143,10,14,6,15,45,4,45,participant
17,spectral_baseline_6,True,0.5724206349206349,0.5833333333333334,0.4107142857142857,0.7232142857142857,2,0.3125,0.569377990430622,0.5609756097560976,0.5586124401913876,0.5837320574162679,0.45454545454545453,0.6842105263157895,10,12,6,13,41,4,41,participant
