subject,method,similarity_run_6_vs_10,similarity_run_6_vs_14,similarity_run_10_vs_14,mean_pairwise_subspace_similarity,minimum_pairwise_subspace_similarity,sign_order_and_rotation_invariant,analysis_role
99,target_csp_ledoit_wolf,0.13359328672357013,0.09018054100642038,0.09599373031261335,0.10658918601420127,0.09018054100642038,True,post_primary_exploratory_stability
101,target_csp_ledoit_wolf,0.09953648713249384,0.0967690439148571,0.08599253647407368,0.09409935584047487,0.08599253647407368,True,post_primary_exploratory_stability
102,target_csp_ledoit_wolf,0.2869452092277128,0.11070850221234392,0.10214356985216493,0.1665990937640739,0.10214356985216493,True,post_primary_exploratory_stability
103,target_csp_ledoit_wolf,0.11843290755449674,0.07771719456337915,0.08397545616868493,0.09337518609552027,0.07771719456337915,True,post_primary_exploratory_stability
104,target_csp_ledoit_wolf,0.2697329453126629,0.16208436579681712,0.13897272132419874,0.1902633441445596,0.13897272132419874,True,post_primary_exploratory_stability
105,target_csp_ledoit_wolf,0.10464226597843541,0.06128224079786722,0.14080180282262755,0.1022421031996434,0.06128224079786722,True,post_primary_exploratory_stability
106,target_csp_ledoit_wolf,0.06988737690956015,0.1347004855352609,0.09395931576458318,0.09951572606980141,0.06988737690956015,True,post_primary_exploratory_stability
107,target_csp_ledoit_wolf,0.0853906780608429,0.12131321440333218,0.0668333652529961,0.09117908590572373,0.0668333652529961,True,post_primary_exploratory_stability
108,target_csp_ledoit_wolf,0.1029769445713433,0.08945070517544591,0.16223465654345906,0.1182207687634161,0.08945070517544591,True,post_primary_exploratory_stability
109,target_csp_ledoit_wolf,0.04250300882167091,0.11022788726087093,0.10889107608244461,0.08720732405499548,0.04250300882167091,True,post_primary_exploratory_stability
