subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,training_subjects,target_adaptation_used
32,shrinkage_lda,6,0.5267857142857143,0.5333333333333333,0.42857142857142855,0.625,3,4,3,5,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
32,shrinkage_lda,10,0.5357142857142857,0.5333333333333333,0.5714285714285714,0.5,4,3,4,4,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
32,shrinkage_lda,14,0.5892857142857143,0.6,0.75,0.42857142857142855,6,2,4,3,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
32,shrinkage_lda,6,0.5833333333333333,0.5714285714285714,0.6666666666666666,0.5,2,1,2,2,7,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
32,shrinkage_lda,10,0.5357142857142857,0.5454545454545454,0.5,0.5714285714285714,2,2,3,4,11,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
32,shrinkage_lda,14,0.5892857142857143,0.6,0.75,0.42857142857142855,6,2,4,3,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
33,shrinkage_lda,6,0.7946428571428572,0.8,0.7142857142857143,0.875,5,2,1,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
33,shrinkage_lda,10,0.7410714285714286,0.7333333333333333,0.625,0.8571428571428571,5,3,1,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
33,shrinkage_lda,14,0.5178571428571428,0.5333333333333333,0.2857142857142857,0.75,2,5,2,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
33,shrinkage_lda,6,0.9375,0.9230769230769231,1.0,0.875,5,0,1,7,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
33,shrinkage_lda,10,0.7,0.7272727272727273,0.4,1.0,2,3,0,6,11,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
33,shrinkage_lda,14,0.6166666666666667,0.6363636363636364,0.4,0.8333333333333334,2,3,1,5,11,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
34,shrinkage_lda,6,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,6,14,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
34,shrinkage_lda,10,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.8571428571428571,5,2,1,6,14,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
34,shrinkage_lda,14,0.6428571428571428,0.6428571428571429,0.42857142857142855,0.8571428571428571,3,4,1,6,14,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
34,shrinkage_lda,6,0.9285714285714286,0.9230769230769231,1.0,0.8571428571428571,6,0,1,6,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
34,shrinkage_lda,10,0.7285714285714285,0.75,0.6,0.8571428571428571,3,2,1,6,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
34,shrinkage_lda,14,0.6285714285714286,0.6666666666666666,0.4,0.8571428571428571,2,3,1,6,12,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
35,shrinkage_lda,6,0.75,0.7333333333333333,0.5,1.0,4,4,0,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
35,shrinkage_lda,10,0.625,0.6,0.25,1.0,2,6,0,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
35,shrinkage_lda,14,0.6875,0.6666666666666666,0.375,1.0,3,5,0,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
35,shrinkage_lda,6,0.7857142857142857,0.7857142857142857,0.5714285714285714,1.0,4,3,0,7,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
35,shrinkage_lda,10,0.625,0.6,0.25,1.0,2,6,0,7,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
35,shrinkage_lda,14,0.6875,0.6666666666666666,0.375,1.0,3,5,0,7,15,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
36,shrinkage_lda,6,0.4107142857142857,0.4,0.5714285714285714,0.25,4,3,6,2,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
36,shrinkage_lda,10,0.6517857142857143,0.6666666666666666,0.42857142857142855,0.875,3,4,1,7,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
36,shrinkage_lda,14,0.7410714285714286,0.7333333333333333,0.625,0.8571428571428571,5,3,1,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
36,shrinkage_lda,6,0.4583333333333333,0.42857142857142855,0.6666666666666666,0.25,4,2,6,2,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
36,shrinkage_lda,10,0.5952380952380952,0.6153846153846154,0.3333333333333333,0.8571428571428571,2,4,1,6,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
36,shrinkage_lda,14,0.8452380952380952,0.8461538461538461,0.8333333333333334,0.8571428571428571,5,1,1,6,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
37,shrinkage_lda,6,0.5714285714285714,0.5714285714285714,1.0,0.14285714285714285,7,0,6,1,14,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
37,shrinkage_lda,10,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.0,3,4,7,0,14,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
37,shrinkage_lda,14,0.3571428571428571,0.35714285714285715,0.2857142857142857,0.42857142857142855,2,5,4,3,14,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
37,shrinkage_lda,6,0.5833333333333334,0.375,1.0,0.16666666666666666,2,0,5,1,8,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
37,shrinkage_lda,10,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.0,3,4,7,0,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
37,shrinkage_lda,14,0.35,0.3333333333333333,0.2,0.5,1,4,2,2,9,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
38,shrinkage_lda,6,0.5803571428571428,0.6,0.875,0.2857142857142857,7,1,5,2,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
38,shrinkage_lda,10,0.7946428571428572,0.8,0.875,0.7142857142857143,7,1,2,5,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
38,shrinkage_lda,14,0.3482142857142857,0.3333333333333333,0.5714285714285714,0.125,4,3,7,1,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
38,shrinkage_lda,6,0.5952380952380952,0.6153846153846154,0.8571428571428571,0.3333333333333333,6,1,4,2,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
38,shrinkage_lda,10,0.7333333333333334,0.7272727272727273,0.8,0.6666666666666666,4,1,2,4,11,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
38,shrinkage_lda,14,0.2625,0.23076923076923078,0.4,0.125,2,3,7,1,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
39,shrinkage_lda,6,0.25,0.26666666666666666,0.5,0.0,4,4,7,0,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
39,shrinkage_lda,10,0.5178571428571428,0.5333333333333333,0.2857142857142857,0.75,2,5,2,6,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
39,shrinkage_lda,14,0.6696428571428572,0.6666666666666666,0.625,0.7142857142857143,5,3,2,5,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
39,shrinkage_lda,6,0.2857142857142857,0.3076923076923077,0.5714285714285714,0.0,4,3,6,0,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
39,shrinkage_lda,10,0.5238095238095238,0.5384615384615384,0.3333333333333333,0.7142857142857143,2,4,2,5,13,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
39,shrinkage_lda,14,0.6428571428571428,0.6428571428571429,0.5714285714285714,0.7142857142857143,4,3,2,5,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
40,shrinkage_lda,6,0.35714285714285715,0.3333333333333333,0.0,0.7142857142857143,0,8,2,5,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
40,shrinkage_lda,10,0.3839285714285714,0.4,0.14285714285714285,0.625,1,6,3,5,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
40,shrinkage_lda,14,0.39285714285714285,0.4,0.2857142857142857,0.5,2,5,4,4,15,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
40,shrinkage_lda,6,0.4166666666666667,0.45454545454545453,0.0,0.8333333333333334,0,5,1,5,11,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
40,shrinkage_lda,10,0.525,0.5555555555555556,0.25,0.8,1,3,1,4,9,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
40,shrinkage_lda,14,0.3571428571428571,0.35714285714285715,0.2857142857142857,0.42857142857142855,2,5,4,3,14,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
41,shrinkage_lda,6,0.5,0.5,0.5714285714285714,0.42857142857142855,4,3,4,3,14,False,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False
