subject,test_run,condition,balanced_accuracy,fists_recall,feet_recall,variant_count,test_trial_count
45,6,B,0.5714285714285714,0.5,0.6428571428571428,2,15
45,6,C,0.6428571428571428,1.0,0.2857142857142857,1,15
45,10,A,0.5357142857142857,0.5,0.5714285714285714,2,15
45,10,B,0.4732142857142857,0.375,0.5714285714285714,2,15
45,10,C,0.5892857142857143,0.75,0.42857142857142855,1,15
45,14,A,0.6160714285714286,0.375,0.8571428571428572,2,15
45,14,B,0.6383928571428572,0.5625,0.7142857142857143,2,15
45,14,C,0.6696428571428572,0.625,0.7142857142857143,1,15
46,6,A,0.7276785714285714,0.8125,0.6428571428571428,2,15
46,6,B,0.7544642857142857,0.9375,0.5714285714285714,2,15
46,6,C,0.7321428571428572,0.75,0.7142857142857143,1,15
46,10,A,0.53125,0.5,0.5625,2,15
46,10,B,0.6696428571428572,0.7142857142857143,0.625,2,15
46,10,C,0.6785714285714286,0.8571428571428571,0.5,1,15
46,14,A,0.6517857142857143,0.9285714285714286,0.375,2,15
46,14,B,0.6875,1.0,0.375,2,15
46,14,C,0.8035714285714286,0.8571428571428571,0.75,1,15
47,6,A,0.5803571428571429,0.375,0.7857142857142857,2,15
47,6,B,0.4375,0.375,0.5,2,15
47,6,C,0.35714285714285715,0.0,0.7142857142857143,1,15
47,10,A,0.49107142857142855,0.3571428571428571,0.625,2,15
47,10,B,0.3125,0.5,0.125,2,15
47,10,C,0.3392857142857143,0.42857142857142855,0.25,1,15
47,14,A,0.4598214285714286,0.0625,0.8571428571428572,2,15
47,14,B,0.5758928571428571,0.9375,0.21428571428571427,2,15
47,14,C,0.5178571428571428,0.75,0.2857142857142857,1,15
48,6,A,0.8035714285714286,0.75,0.8571428571428572,2,15
48,6,B,0.7321428571428572,0.75,0.7142857142857143,2,15
48,6,C,0.8660714285714286,0.875,0.8571428571428571,1,15
48,10,A,0.6071428571428571,1.0,0.21428571428571427,2,15
48,10,B,0.6473214285714286,0.9375,0.3571428571428571,2,15
48,10,C,0.7232142857142857,0.875,0.5714285714285714,1,15
48,14,A,0.7991071428571429,0.8125,0.7857142857142857,2,15
