subject,model,within_subject_balanced_accuracy,cross_subject_balanced_accuracy,cross_minus_within_balanced_accuracy,within_minus_cross_balanced_accuracy,analysis_role
57,csp_4_empirical,0.6190476190476191,0.5,-0.11904761904761907,0.11904761904761907,post_primary_exploratory_matched_comparison
58,spectral_baseline_6,0.5565476190476191,0.4404761904761905,-0.11607142857142855,0.11607142857142855,post_primary_exploratory_matched_comparison
58,csp_4_empirical,0.7321428571428572,0.6339285714285714,-0.09821428571428581,0.09821428571428581,post_primary_exploratory_matched_comparison
59,spectral_baseline_6,0.4851190476190476,0.4553571428571428,-0.029761904761904823,0.029761904761904823,post_primary_exploratory_matched_comparison
59,csp_4_empirical,0.5178571428571428,0.6071428571428572,0.08928571428571441,-0.08928571428571441,post_primary_exploratory_matched_comparison
60,spectral_baseline_6,0.7529761904761906,0.6845238095238096,-0.06845238095238093,0.06845238095238093,post_primary_exploratory_matched_comparison
60,csp_4_empirical,0.7738095238095237,0.7023809523809524,-0.07142857142857129,0.07142857142857129,post_primary_exploratory_matched_comparison
61,spectral_baseline_6,0.511904761904762,0.6458333333333334,0.1339285714285714,-0.1339285714285714,post_primary_exploratory_matched_comparison
61,csp_4_empirical,0.6904761904761904,0.6964285714285715,0.005952380952381153,-0.005952380952381153,post_primary_exploratory_matched_comparison
62,spectral_baseline_6,0.6428571428571429,0.7827380952380952,0.13988095238095233,-0.13988095238095233,post_primary_exploratory_matched_comparison
62,csp_4_empirical,0.8958333333333334,0.8660714285714285,-0.029761904761904878,0.029761904761904878,post_primary_exploratory_matched_comparison
63,spectral_baseline_6,0.4672619047619047,0.5863095238095238,0.11904761904761912,-0.11904761904761912,post_primary_exploratory_matched_comparison
63,csp_4_empirical,0.5327380952380952,0.49702380952380953,-0.0357142857142857,0.0357142857142857,post_primary_exploratory_matched_comparison
64,spectral_baseline_6,0.619047619047619,0.4761904761904762,-0.14285714285714274,0.14285714285714274,post_primary_exploratory_matched_comparison
64,csp_4_empirical,0.4761904761904762,0.7142857142857143,0.23809523809523808,-0.23809523809523808,post_primary_exploratory_matched_comparison
65,spectral_baseline_6,0.5148809523809524,0.44345238095238093,-0.07142857142857151,0.07142857142857151,post_primary_exploratory_matched_comparison
65,csp_4_empirical,0.5089285714285714,0.5833333333333334,0.07440476190476197,-0.07440476190476197,post_primary_exploratory_matched_comparison
66,spectral_baseline_6,0.5505952380952381,0.6011904761904763,0.05059523809523814,-0.05059523809523814,post_primary_exploratory_matched_comparison
66,csp_4_empirical,0.568452380952381,0.5,-0.06845238095238104,0.06845238095238104,post_primary_exploratory_matched_comparison
67,spectral_baseline_6,0.505952380952381,0.5089285714285715,0.0029761904761904656,-0.0029761904761904656,post_primary_exploratory_matched_comparison
67,csp_4_empirical,0.5565476190476191,0.5208333333333334,-0.0357142857142857,0.0357142857142857,post_primary_exploratory_matched_comparison
68,spectral_baseline_6,0.5238095238095238,0.4791666666666667,-0.04464285714285715,0.04464285714285715,post_primary_exploratory_matched_comparison
68,csp_4_empirical,0.630952380952381,0.7172619047619048,0.08630952380952372,-0.08630952380952372,post_primary_exploratory_matched_comparison
69,spectral_baseline_6,0.5654761904761906,0.5982142857142857,0.03273809523809512,-0.03273809523809512,post_primary_exploratory_matched_comparison
69,csp_4_empirical,0.6845238095238096,0.49702380952380953,-0.1875000000000001,0.1875000000000001,post_primary_exploratory_matched_comparison
70,spectral_baseline_6,0.8273809523809524,0.5416666666666666,-0.2857142857142858,0.2857142857142858,post_primary_exploratory_matched_comparison
70,csp_4_empirical,0.9553571428571429,0.6160714285714285,-0.3392857142857144,0.3392857142857144,post_primary_exploratory_matched_comparison
71,spectral_baseline_6,0.7261904761904763,0.6845238095238096,-0.04166666666666663,0.04166666666666663,post_primary_exploratory_matched_comparison
71,csp_4_empirical,0.8660714285714285,0.5714285714285715,-0.294642857142857,0.294642857142857,post_primary_exploratory_matched_comparison
72,spectral_baseline_6,0.9761904761904763,0.7857142857142857,-0.19047619047619058,0.19047619047619058,post_primary_exploratory_matched_comparison
72,csp_4_empirical,0.9761904761904763,0.8809523809523809,-0.09523809523809534,0.09523809523809534,post_primary_exploratory_matched_comparison
73,spectral_baseline_6,0.5952380952380952,0.42857142857142855,-0.16666666666666669,0.16666666666666669,post_primary_exploratory_matched_comparison
73,csp_4_empirical,0.8333333333333334,0.6666666666666666,-0.16666666666666674,0.16666666666666674,post_primary_exploratory_matched_comparison
74,spectral_baseline_6,0.5476190476190476,0.5714285714285714,0.023809523809523836,-0.023809523809523836,post_primary_exploratory_matched_comparison
74,csp_4_empirical,0.5,0.4761904761904762,-0.02380952380952378,0.02380952380952378,post_primary_exploratory_matched_comparison
75,spectral_baseline_6,0.6815476190476191,0.6190476190476191,-0.0625,0.0625,post_primary_exploratory_matched_comparison
75,csp_4_empirical,0.6904761904761904,0.6815476190476191,-0.008928571428571286,0.008928571428571286,post_primary_exploratory_matched_comparison
76,spectral_baseline_6,0.5952380952380952,0.5238095238095238,-0.0714285714285714,0.0714285714285714,post_primary_exploratory_matched_comparison
76,csp_4_empirical,0.5,0.5,0.0,0.0,post_primary_exploratory_matched_comparison
77,spectral_baseline_6,0.4136904761904762,0.4761904761904762,0.0625,-0.0625,post_primary_exploratory_matched_comparison
77,csp_4_empirical,0.4196428571428572,0.49107142857142855,0.07142857142857134,-0.07142857142857134,post_primary_exploratory_matched_comparison
78,spectral_baseline_6,0.6666666666666666,0.44940476190476186,-0.21726190476190477,0.21726190476190477,post_primary_exploratory_matched_comparison
78,csp_4_empirical,0.49404761904761907,0.5357142857142857,0.04166666666666663,-0.04166666666666663,post_primary_exploratory_matched_comparison
79,spectral_baseline_6,0.4970238095238096,0.5595238095238096,0.06250000000000006,-0.06250000000000006,post_primary_exploratory_matched_comparison
79,csp_4_empirical,0.7142857142857144,0.511904761904762,-0.20238095238095244,0.20238095238095244,post_primary_exploratory_matched_comparison
80,spectral_baseline_6,0.5803571428571429,0.4077380952380952,-0.17261904761904773,0.17261904761904773,post_primary_exploratory_matched_comparison
80,csp_4_empirical,0.5833333333333334,0.5714285714285714,-0.011904761904761973,0.011904761904761973,post_primary_exploratory_matched_comparison
81,spectral_baseline_6,0.6636904761904763,0.3928571428571428,-0.2708333333333335,0.2708333333333335,post_primary_exploratory_matched_comparison
