subject,condition,balanced_accuracy,fists_recall,feet_recall
95,C,0.540079365079365,0.3634920634920635,0.7166666666666667
96,A,0.4821428571428572,0.38095238095238093,0.5833333333333334
96,B,0.4791666666666667,0.5,0.4583333333333333
96,C,0.5,0.5,0.5
97,A,0.41686507936507927,0.7416666666666666,0.09206349206349207
97,B,0.5059523809523809,0.5055555555555555,0.5063492063492063
97,C,0.6386904761904761,0.6916666666666668,0.5857142857142857
98,A,0.5267857142857143,0.7619047619047619,0.2916666666666667
98,B,0.5892857142857143,0.5952380952380952,0.5833333333333334
98,C,0.5238095238095238,0.7142857142857143,0.3333333333333333
99,A,0.4880952380952381,0.8095238095238094,0.16666666666666666
99,B,0.6071428571428572,0.5476190476190476,0.6666666666666666
99,C,0.5505952380952381,0.4761904761904762,0.625
101,A,0.6815476190476191,0.7916666666666666,0.5714285714285714
101,B,0.6666666666666666,0.6666666666666666,0.6666666666666666
101,C,0.5535714285714285,0.5833333333333334,0.5238095238095238
102,A,0.5714285714285715,0.7619047619047619,0.38095238095238093
102,B,0.5714285714285715,0.5952380952380952,0.5476190476190476
102,C,0.4761904761904762,0.8095238095238094,0.14285714285714288
103,A,0.6870039682539683,0.5920634920634921,0.7819444444444444
103,B,0.6566468253968254,0.7063492063492064,0.6069444444444444
103,C,0.5469246031746032,0.8619047619047618,0.23194444444444443
104,A,0.3746031746031746,0.2714285714285714,0.4777777777777777
104,B,0.4836309523809524,0.47142857142857136,0.49583333333333335
104,C,0.5075396825396825,0.5206349206349207,0.49444444444444446
105,A,0.49107142857142855,0.125,0.8571428571428571
105,B,0.6101190476190476,0.625,0.5952380952380952
105,C,0.4613095238095239,0.375,0.5476190476190477
106,A,0.5466269841269841,0.9138888888888889,0.1793650793650794
106,B,0.6066468253968255,0.6513888888888889,0.5619047619047619
106,C,0.43978174603174597,0.6319444444444443,0.24761904761904763
107,A,0.5490079365079366,0.22857142857142856,0.8694444444444445
107,B,0.5356150793650793,0.5476190476190476,0.5236111111111111
107,C,0.5674603174603176,0.6126984126984126,0.5222222222222221
108,A,0.5571428571428572,0.5920634920634921,0.5222222222222223
108,B,0.5586309523809524,0.6158730158730159,0.5013888888888889
108,C,0.5451388888888888,0.5,0.5902777777777778
