subject,size,balanced_accuracy,fists_recall,feet_recall
79,26,0.6220238095238094,0.7857142857142857,0.4583333333333333
79,28,0.5863095238095238,0.7142857142857143,0.4583333333333333
80,14,0.6964285714285715,0.5833333333333334,0.8095238095238096
80,18,0.693452380952381,0.4583333333333333,0.9285714285714285
80,22,0.7663690476190476,0.7708333333333334,0.7619047619047619
80,26,0.7678571428571429,0.75,0.7857142857142857
80,28,0.6904761904761906,0.6666666666666666,0.7142857142857143
81,14,0.5133928571428571,0.24404761904761904,0.7827380952380952
81,18,0.5729166666666667,0.2738095238095238,0.8720238095238096
81,22,0.6205357142857143,0.36607142857142855,0.875
81,26,0.6071428571428571,0.31845238095238093,0.8958333333333334
81,28,0.5535714285714285,0.2738095238095238,0.8333333333333334
82,14,0.5877976190476191,0.6041666666666666,0.5714285714285714
82,18,0.5476190476190476,0.6666666666666666,0.42857142857142855
82,22,0.53125,0.5625,0.5
82,26,0.5848214285714285,0.6458333333333334,0.5238095238095238
82,28,0.6041666666666666,0.5416666666666666,0.6666666666666666
83,14,0.5535714285714285,0.35714285714285715,0.75
83,18,0.5758928571428571,0.38095238095238093,0.7708333333333334
83,22,0.5282738095238095,0.4523809523809524,0.6041666666666666
83,26,0.6428571428571429,0.4523809523809524,0.8333333333333334
83,28,0.6547619047619048,0.4761904761904762,0.8333333333333334
84,14,0.5476190476190476,0.7916666666666666,0.30357142857142855
84,18,0.6130952380952381,0.9583333333333334,0.26785714285714285
84,22,0.5744047619047619,0.8869047619047619,0.2619047619047619
84,26,0.6041666666666667,0.8392857142857143,0.36904761904761907
84,28,0.6041666666666666,0.8154761904761904,0.39285714285714285
85,14,0.9032738095238096,0.8065476190476191,1.0
85,18,0.9360119047619048,0.8720238095238096,1.0
85,22,0.9375,0.875,1.0
85,26,0.9270833333333334,0.8541666666666666,1.0
85,28,0.9375,0.875,1.0
86,14,0.5907738095238095,0.6190476190476191,0.5625
86,18,0.7425595238095237,0.7142857142857143,0.7708333333333334
86,22,0.9226190476190476,0.9285714285714285,0.9166666666666666
86,26,0.9017857142857143,0.9285714285714285,0.875
86,28,0.9345238095238096,0.9523809523809524,0.9166666666666666
