development_fold,subject,model,primary_mean_run_balanced_accuracy,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,participant_run_range,pooled_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,group_observational_unit,zero_shot,target_adaptation_used
11,11,shrinkage_lda,0.6636904761904762,0.6428571428571428,0.6160714285714286,0.7321428571428572,0.1160714285714286,0.6709486166007905,0.6666666666666666,0.8636363636363636,0.4782608695652174,19,3,12,11,45,False,participant,True,False
11,11,shrinkage_lda,0.6488095238095238,0.6428571428571428,0.5714285714285714,0.7321428571428572,0.1607142857142858,0.6590909090909091,0.6590909090909091,0.8636363636363636,0.45454545454545453,19,3,12,10,44,True,participant,True,False
11,11,l2_logistic_regression,0.6220238095238095,0.6428571428571428,0.5535714285714286,0.6696428571428572,0.1160714285714286,0.6274703557312253,0.6222222222222222,0.8636363636363636,0.391304347826087,19,3,14,9,45,False,participant,True,False
11,11,l2_logistic_regression,0.6041666666666666,0.6428571428571428,0.5,0.6696428571428572,0.1696428571428572,0.6136363636363636,0.6136363636363636,0.8636363636363636,0.36363636363636365,19,3,14,8,44,True,participant,True,False
12,12,shrinkage_lda,0.5476190476190476,0.6428571428571428,0.5,0.5,0.1428571428571428,0.5454545454545454,0.5555555555555556,0.09090909090909091,1.0,2,20,0,23,45,False,participant,True,False
12,12,shrinkage_lda,0.5555555555555555,0.6666666666666666,0.5,0.5,0.16666666666666663,0.5476190476190477,0.5365853658536586,0.09523809523809523,1.0,2,19,0,20,41,True,participant,True,False
12,12,l2_logistic_regression,0.5714285714285715,0.7142857142857143,0.5,0.5,0.2142857142857143,0.5681818181818181,0.5777777777777777,0.13636363636363635,1.0,3,19,0,23,45,False,participant,True,False
12,12,l2_logistic_regression,0.5833333333333334,0.75,0.5,0.5,0.25,0.5714285714285714,0.5609756097560976,0.14285714285714285,1.0,3,18,0,20,41,True,participant,True,False
13,13,shrinkage_lda,0.6190476190476191,0.7232142857142857,0.7232142857142857,0.4107142857142857,0.3125,0.6235177865612648,0.6222222222222222,0.6818181818181818,0.5652173913043478,15,7,10,13,45,False,participant,True,False
13,13,shrinkage_lda,0.6327380952380953,0.8,0.6875,0.4107142857142857,0.38928571428571435,0.6092436974789917,0.6052631578947368,0.6470588235294118,0.5714285714285714,11,6,9,12,38,True,participant,True,False
13,13,l2_logistic_regression,0.6636904761904762,0.7946428571428572,0.7232142857142857,0.4732142857142857,0.3214285714285715,0.6669960474308301,0.6666666666666666,0.6818181818181818,0.6521739130434783,15,7,8,15,45,False,participant,True,False
13,13,l2_logistic_regression,0.6869047619047618,0.9,0.6875,0.4732142857142857,0.4267857142857143,0.6568627450980392,0.6578947368421053,0.6470588235294118,0.6666666666666666,11,6,7,14,38,True,participant,True,False
14,14,shrinkage_lda,0.4851190476190476,0.5803571428571428,0.4375,0.4375,0.1428571428571428,0.4851190476190476,0.5111111111111111,0.875,0.09523809523809523,21,3,19,2,45,False,participant,True,False
14,14,shrinkage_lda,0.45535714285714285,0.5285714285714286,0.4375,0.4,0.12857142857142856,0.4583333333333333,0.5142857142857142,0.85,0.06666666666666667,17,3,14,1,35,True,participant,True,False
